id,web_name,team,element_type,selected_by_percent,transfers_in,transfers_out,transfers_in_event,transfers_out_event,total_points,form,now_cost
59,Aarons,3,2,0.1,12506,29224,0,0,8,0.0,43
60,Adams,3,3,0.1,16849,12793,0,0,58,2.2,49
61,Anthony,3,3,0.1,8381,46624,0,0,0,0.0,45
62,Brooks,3,3,0.0,9328,8345,0,0,52,1.5,49
63,Christie,3,3,0.1,50838,63311,0,0,76,0.0,48
64,Cook,3,3,0.1,60667,60285,0,0,82,0.8,50
65,Enes Ünal,3,4,0.1,47246,47831,0,0,32,0.0,54
66,Faivre,3,3,0.0,23,1460,0,0,0,0.0,50
67,H.Traorè,3,3,0.0,3525,19418,0,0,0,0.0,45
68,Hill,3,2,0.5,112677,110218,0,0,17,0.0,39
69,Jebbison,3,4,1.1,485696,572087,0,0,20,2.2,45
70,Kerkez,3,2,20.0,3604031,1437233,0,0,134,2.8,53
71,Kluivert,3,3,11.0,5516740,4388704,0,0,158,1.8,59
72,Mepham,3,2,0.0,287,6330,0,0,0,0.0,44
74,O.Dango,3,3,0.9,793396,704668,0,0,111,0.2,45
75,Paulsen,3,1,0.0,0,3161,0,0,0,0.0,40
76,Philip,3,3,0.0,6119,11274,0,0,10,0.0,48
77,Scott,3,3,0.0,3384,6964,0,0,26,0.5,47
78,Semenyo,3,3,8.0,3623976,2938239,0,0,165,6.0,57
79,Senesi,3,2,0.3,77865,150049,0,0,31,1.8,46
80,Sinisterra,3,3,0.1,69200,83138,0,0,23,0.0,48
81,Smith,3,2,0.1,31246,41429,0,0,57,2.0,44
83,Tavernier,3,3,0.2,128336,130723,0,0,87,3.0,54
84,Travers,3,1,0.1,19149,28730,0,0,19,0.0,44
85,Zabarnyi,3,2,0.5,135190,127667,0,0,94,3.8,44
152,Arrizabalaga,3,1,3.7,838119,497680,0,0,106,3.0,46
580,Huijsen,3,2,5.0,1032680,509350,0,0,104,3.2,45
592,J.Araujo,3,2,0.1,12390,25151,0,0,12,0.8,43
599,Dennis,3,1,0.3,47964,44408,0,0,0,0.0,39
617,Evanilson,3,4,8.5,2362311,1424881,0,0,128,3.0,59
680,Kinsey,3,2,0.0,7631,5215,0,0,0,0.0,40
687,Winterburn,3,3,0.0,3575,2697,0,0,4,0.2,45
702,Harris,3,2,0.0,3804,2322,0,0,0,0.0,40
707,Rees-Dottin,3,4,0.1,18771,13803,0,0,1,0.0,45
712,Akinmboni,3,2,0.0,1907,1169,0,0,0,0.0,40
713,Soler,3,2,0.0,6116,2877,0,0,3,0.5,39
722,Adu-Adjei,3,4,0.0,9542,5551,0,0,0,0.0,45
723,Sadi,3,3,0.0,847,513,0,0,0,0.0,45
727,McKenna,3,1,0.0,1844,976,0,0,0,0.0,40
728,Silcott-Duberry,3,3,0.0,567,367,0,0,1,0.0,45
738,Iraola,3,5,4.8,82168,87250,0,0,82,7.2,11
86,Ajer,4,2,0.2,43811,65694,0,0,39,0.2,44
87,Brierley,4,3,0.1,14687,16742,0,0,0,0.0,44
88,Collins,4,2,4.5,992798,568992,0,0,127,4.6,46
89,Damsgaard,4,3,1.2,519677,410351,0,0,131,3.0,49
90,Dasilva,4,3,0.0,512,1162,0,0,0,0.0,48
91,Flekken,4,1,10.0,1835614,1826995,0,0,138,5.6,45
92,Henry,4,2,0.0,3031,8361,0,0,4,0.4,43
93,Hickey,4,2,0.0,874,3168,0,0,0,0.0,43
94,Janelt,4,3,0.2,112872,118953,0,0,73,0.0,48
95,Jensen,4,3,0.1,9229,22220,0,0,38,1.0,53
96,Ji-soo,4,2,0.3,50776,51743,0,0,3,0.0,39
97,Konak,4,3,0.1,10915,12728,0,0,10,0.4,44
98,Lewis-Potter,4,3,0.1,30934,29883,0,0,94,1.6,50
99,Mbeumo,4,3,46.7,10656539,6074146,0,0,236,5.2,83
100,Mee,4,2,0.3,31324,91112,0,0,9,0.0,42
101,Nørgaard,4,3,0.2,68895,64300,0,0,107,4.2,48
102,Onyeka,4,3,0.0,648,3965,0,0,2,0.0,49
103,Peart-Harris,4,3,0.0,913,4730,0,0,0,0.0,45
104,Pinnock,4,2,0.3,187732,211708,0,0,47,0.0,44
105,Roerslev,4,2,0.1,18746,24856,0,0,36,0.0,43
106,Schade,4,3,3.3,707168,354286,0,0,149,7.4,53
107,Thiago,4,4,0.0,4919,6322,0,0,9,0.8,59
108,Toney,4,4,1.1,43376,805864,0,0,0,0.0,73
109,Valdimarsson,4,1,2.9,477163,564324,0,0,2,0.0,39
110,Wissa,4,4,24.2,6186462,3862721,0,0,185,5.2,69
111,Yarmoliuk,4,3,2.3,602607,665058,0,0,43,2.0,43
112,Zanka,4,2,0.0,0,4144,0,0,0,0.0,45
314,Carvalho,4,3,0.4,187015,293210,0,0,35,0.0,45
338,Van den Berg,4,2,1.5,674947,577807,0,0,62,3.0,41
602,Trevitt,4,3,0.0,9155,10397,0,0,1,0.0,44
634,G.Nunes,4,3,0.0,591,567,0,0,3,0.2,49
649,Meghoma,4,2,0.0,5922,6248,0,0,1,0.0,40
661,Yogane,4,3,0.0,2806,2649,0,0,0,0.0,45
674,Maghoma,4,3,0.0,2058,1510,0,0,8,0.0,45
705,Arthur,4,2,0.0,3902,2289,0,0,0,0.0,40
752,Frank,4,5,15.1,50312,45259,0,0,116,9.0,8
757,Kayode,4,2,0.1,21242,7111,0,0,27,4.0,45
759,Eyestone,4,1,0.0,851,466,0,0,0,0.0,40
780,Morgan,4,4,0.0,4396,2127,0,0,0,0.0,45
786,Benjamin Fredrick,4,2,0.0,408,193,0,0,0,0.0,40
113,Adingra,5,3,0.3,120944,158626,0,0,60,2.5,51
114,Baker-Boaitey,5,3,0.0,0,543,0,0,0,0.0,45
115,Baleba,5,3,0.2,70991,63444,0,0,87,2.2,50
116,Barco,5,2,1.9,34254,2012896,0,0,0,0.0,40
118,Cozier-Duberry,5,3,0.0,1560,13783,0,0,0,0.0,45
119,Dahoud,5,3,0.0,380,2993,0,0,0,0.0,49
120,Dunk,5,2,2.3,764625,1018224,0,0,44,0.5,42
122,Estupiñan,5,2,1.3,528145,429681,0,0,63,2.5,49
124,Gilmour,5,3,0.0,2640,16637,0,0,3,0.0,50
125,Gross,5,3,0.0,0,8282,0,0,0,0.0,65
126,Hinshelwood,5,3,0.1,28419,28532,0,0,89,6.2,49
127,I.Osman,5,3,0.0,0,1155,0,0,0,0.0,50
128,Igor,5,2,0.1,13630,21072,0,0,18,0.2,43
129,João Pedro,5,4,8.5,5847214,6858157,0,0,126,0.0,55
