element_type,total_points_mean,total_points_median,total_points_std,total_points_min,total_points_max,now_cost_mean,now_cost_median,now_cost_std,now_cost_min,now_cost_max,goals_scored_sum,goals_scored_mean,assists_sum,assists_mean,minutes_sum,minutes_mean,selected_by_percent_mean,selected_by_percent_median
1,31.048780487804876,1.5,47.46067961592564,0,158,42.40243902439025,40.0,4.239321387860256,38,56,0,0.0,11,0.13414634146341464,68397,834.109756097561,2.4353658536585363,0.4
2,34.36194029850746,17.5,40.76744551047571,-1,153,43.600746268656714,43.0,5.2146005950687035,38,72,127,0.47388059701492535,193,0.7201492537313433,275820,1029.1791044776119,1.8619402985074627,0.2
3,44.538904899135446,31.0,51.26419794266561,0,344,51.43804034582133,49.0,10.277566605933915,43,136,623,1.7953890489913544,659,1.899135446685879,334791,964.8155619596541,1.4368876080691644,0.1
4,46.9080459770115,19.0,59.647341932610615,0,211,56.10344827586207,51.0,15.149667647562302,44,149,331,3.8045977011494254,115,1.3218390804597702,69473,798.5402298850574,3.449425287356322,0.5
5,93.05,95.5,27.637645950482298,38,137,9.75,9.5,3.7957732725812408,5,15,0,0.0,0,0.0,0,0.0,5.0,2.45
