id,web_name,team,element_type,goals_scored,assists,penalties_missed,bonus,bps,influence,creativity,threat,minutes
710,Jimoh,2,3,0,0,0,0,0,0.0,0.0,0.0,0
725,Malen,2,3,3,0,0,3,112,138.2,42.7,208.0,296
731,A. Garcia,2,2,0,0,0,0,26,45.6,68.4,7.0,316
737,Emery,2,5,0,0,0,0,0,0.0,0.0,0.0,0
762,M.Asensio,2,3,3,2,2,6,158,200.6,232.5,242.0,740
59,Aarons,3,2,0,0,0,0,31,13.2,3.2,0.0,84
60,Adams,3,3,0,3,0,1,315,411.8,261.2,83.0,1959
61,Anthony,3,3,0,0,0,0,0,0.0,0.0,0.0,0
62,Brooks,3,3,2,1,0,2,204,193.6,316.7,300.0,941
63,Christie,3,3,2,3,0,5,435,514.0,576.8,303.0,2114
64,Cook,3,3,1,4,0,3,500,607.0,727.1,114.0,2976
65,Enes Ünal,3,4,2,1,0,4,97,104.0,56.1,207.0,330
66,Faivre,3,3,0,0,0,0,0,0.0,0.0,0.0,0
67,H.Traorè,3,3,0,0,0,0,0,0.0,0.0,0.0,0
68,Hill,3,2,0,1,0,0,55,97.0,38.4,29.0,443
69,Jebbison,3,4,1,0,0,1,67,58.2,39.1,70.0,105
70,Kerkez,3,2,2,6,0,10,550,694.0,642.0,238.0,3336
71,Kluivert,3,3,12,6,0,14,532,700.0,654.1,771.0,2339
72,Mepham,3,2,0,0,0,0,0,0.0,0.0,0.0,0
74,O.Dango,3,3,7,4,0,7,432,624.6,496.8,754.0,1998
75,Paulsen,3,1,0,0,0,0,0,0.0,0.0,0.0,0
76,Philip,3,3,0,0,0,0,52,54.0,102.4,47.0,176
77,Scott,3,3,0,0,0,0,132,141.6,171.6,118.0,745
78,Semenyo,3,3,11,7,0,14,571,792.2,688.9,1204.0,3202
79,Senesi,3,2,0,0,0,3,114,271.6,84.2,39.0,1103
80,Sinisterra,3,3,1,1,0,2,90,112.0,115.3,195.0,229
81,Smith,3,2,0,0,0,0,161,181.8,147.2,24.0,1586
83,Tavernier,3,3,3,7,0,4,362,447.0,664.8,442.0,1932
84,Travers,3,1,0,0,0,1,76,146.4,0.0,0.0,450
85,Zabarnyi,3,2,0,1,0,8,429,651.4,177.0,88.0,3109
152,Arrizabalaga,3,1,0,0,0,7,406,744.4,10.4,4.0,2790
580,Huijsen,3,2,3,2,0,14,449,826.4,217.6,193.0,2422
592,J.Araujo,3,2,0,0,0,0,20,56.8,30.6,4.0,492
599,Dennis,3,1,0,0,0,0,0,0.0,0.0,0.0,0
617,Evanilson,3,4,10,5,1,20,487,456.0,331.9,966.0,2317
680,Kinsey,3,2,0,0,0,0,0,0.0,0.0,0.0,0
687,Winterburn,3,3,0,0,0,0,14,2.4,0.2,2.0,22
702,Harris,3,2,0,0,0,0,0,0.0,0.0,0.0,0
707,Rees-Dottin,3,4,0,0,0,0,3,0.0,0.0,0.0,1
712,Akinmboni,3,2,0,0,0,0,0,0.0,0.0,0.0,0
