id,web_name,team,element_type,form,points_per_game,total_points,minutes,selected_by_percent,transfers_in_event,transfers_out_event
64,Cook,3,3,0.8,2.3,82,2976,0.1,0,0
65,Enes Ünal,3,4,0.0,1.9,32,330,0.1,0,0
66,Faivre,3,3,0.0,0.0,0,0,0.0,0,0
67,H.Traorè,3,3,0.0,0.0,0,0,0.0,0,0
68,Hill,3,2,0.0,1.7,17,443,0.5,0,0
69,Jebbison,3,4,2.2,1.2,20,105,1.1,0,0
70,Kerkez,3,2,2.8,3.5,134,3336,20.0,0,0
71,Kluivert,3,3,1.8,4.6,158,2339,11.0,0,0
72,Mepham,3,2,0.0,0.0,0,0,0.0,0,0
74,O.Dango,3,3,0.2,3.5,111,1998,0.9,0,0
75,Paulsen,3,1,0.0,0.0,0,0,0.0,0,0
76,Philip,3,3,0.0,1.0,10,176,0.0,0,0
77,Scott,3,3,0.5,1.3,26,745,0.0,0,0
78,Semenyo,3,3,6.0,4.5,165,3202,8.0,0,0
79,Senesi,3,2,1.8,1.8,31,1103,0.3,0,0
80,Sinisterra,3,3,0.0,1.9,23,229,0.1,0,0
81,Smith,3,2,2.0,2.3,57,1586,0.1,0,0
83,Tavernier,3,3,3.0,3.0,87,1932,0.2,0,0
84,Travers,3,1,0.0,3.8,19,450,0.1,0,0
85,Zabarnyi,3,2,3.8,2.6,94,3109,0.5,0,0
152,Arrizabalaga,3,1,3.0,3.4,106,2790,3.7,0,0
580,Huijsen,3,2,3.2,3.2,104,2422,5.0,0,0
592,J.Araujo,3,2,0.8,1.0,12,492,0.1,0,0
599,Dennis,3,1,0.0,0.0,0,0,0.3,0,0
617,Evanilson,3,4,3.0,4.1,128,2317,8.5,0,0
680,Kinsey,3,2,0.0,0.0,0,0,0.0,0,0
687,Winterburn,3,3,0.2,1.0,4,22,0.0,0,0
702,Harris,3,2,0.0,0.0,0,0,0.0,0,0
707,Rees-Dottin,3,4,0.0,1.0,1,1,0.1,0,0
712,Akinmboni,3,2,0.0,0.0,0,0,0.0,0,0
713,Soler,3,2,0.5,1.0,3,9,0.0,0,0
722,Adu-Adjei,3,4,0.0,0.0,0,0,0.0,0,0
723,Sadi,3,3,0.0,0.0,0,0,0.0,0,0
727,McKenna,3,1,0.0,0.0,0,0,0.0,0,0
728,Silcott-Duberry,3,3,0.0,1.0,1,1,0.0,0,0
738,Iraola,3,5,7.2,0.0,82,0,4.8,0,0
86,Ajer,4,2,0.2,1.6,39,1433,0.2,0,0
87,Brierley,4,3,0.0,0.0,0,0,0.1,0,0
88,Collins,4,2,4.6,3.3,127,3420,4.5,0,0
89,Damsgaard,4,3,3.0,3.4,131,2911,1.2,0,0
90,Dasilva,4,3,0.0,0.0,0,0,0.0,0,0
91,Flekken,4,1,5.6,3.7,138,3275,10.0,0,0
92,Henry,4,2,0.4,0.8,4,94,0.0,0,0
