id,web_name,team,element_type,clean_sheets,goals_conceded,minutes,total_points,now_cost
650,Lacroix,7,2,11,45,3116,114,45
666,Kporha,7,2,0,1,11,2,40
219,Branthwaite,8,2,9,28,2509,88,49
221,Coleman,8,2,0,4,214,5,43
225,Holgate,8,2,0,1,5,1,40
227,J.Virginia,8,1,0,0,0,0,38
228,Keane,8,2,3,20,1046,48,38
231,Mykolenko,8,2,11,39,3082,121,44
234,Patterson,8,2,0,6,342,14,44
235,Pickford,8,1,12,44,3420,158,52
236,Tarkowski,8,2,10,38,2922,105,47
238,Young,8,2,9,23,1864,98,42
582,O'Brien,8,2,5,17,1568,65,45
624,Begovic,8,1,0,0,0,0,40
627,Dixon,8,2,0,4,90,0,39
803,Welch,8,2,0,0,0,0,40
191,Andersen,9,2,4,47,2673,51,42
241,Bassey,9,2,5,47,3074,75,45
242,Benda,9,1,0,0,0,0,39
244,Castagne,9,2,3,28,1642,46,42
245,Diop,9,2,1,19,1334,31,43
248,Leno,9,1,5,54,3420,115,50
250,Mbabu,9,2,0,0,0,0,40
253,Ream,9,2,0,0,0,0,45
255,Robinson,9,2,5,49,3166,106,47
257,Tete,9,2,3,26,1773,49,44
579,Sessegnon,9,2,1,10,574,57,42
586,J.Cuenca,9,2,0,8,349,9,44
690,Amissah,9,2,0,0,0,0,40
261,Baggott,10,2,0,0,0,0,40
263,Burgess,10,2,0,37,1540,26,38
266,H.Clarke,10,2,0,10,377,1,40
267,Davis,10,2,2,71,2742,52,42
269,Edmundson,10,2,0,0,1,1,40
270,Greaves,10,2,2,53,2205,37,38
275,Johnson,10,2,0,39,1346,30,38
279,Ndaba,10,2,0,0,0,0,40
280,Slicker,10,1,0,0,0,0,39
282,Tuanzebe,10,2,1,38,1710,27,39
283,Walton,10,1,1,19,630,16,43
284,Woolfenden,10,2,1,28,1187,18,39
568,Muric,10,1,1,33,1620,49,44
583,Townsend,10,2,0,6,334,11,39
630,O'Shea,10,2,2,75,3122,49,38
715,Godfrey,10,2,0,10,158,-1,40
764,Palmer,10,1,0,30,1170,22,45
799,Boniface,10,2,0,0,0,0,40
288,Coady,11,2,2,42,1712,39,40
291,Faes,11,2,3,63,2812,55,38
293,Hermansen,11,1,1,58,2385,63,44
294,Iversen,11,1,0,0,0,0,39
295,Justin,11,2,3,68,2912,70,41
296,Kristiansen,11,2,1,62,2481,34,44
301,Okoli,11,2,1,26,1122,27,40
302,Ricardo,11,2,0,8,382,10,41
303,Souttar,11,2,0,0,0,0,40
304,Stolarczyk,11,1,2,16,900,25,40
305,Thomas,11,2,3,23,1109,27,39
307,Vestergaard,11,2,0,35,1390,11,39
308,Ward,11,1,0,6,135,2,39
616,Nelson,11,2,0,0,0,0,40
708,Wilson-Brown,11,2,0,0,0,0,40
726,Coulibaly,11,2,0,6,107,1,40
796,Olabade Aluko,11,2,0,0,1,1,40
310,A.Becker,12,1,10,29,2508,112,55
311,Alexander-Arnold,12,2,12,25,2362,148,72
313,Bradley,12,2,3,10,744,41,47
322,Gomez,12,2,1,8,517,14,47
325,Kelleher,12,1,4,12,900,45,39
326,Konaté,12,2,11,28,2561,106,53
