team,total_points_sum,total_points_mean,goals_scored_sum,goals_scored_mean,assists_sum,assists_mean,clean_sheets_sum,clean_sheets_mean,now_cost_mean,now_cost_sum,player_count
1,1950,52.7027027027027,67,1.8108108108108107,62,1.6756756756756757,144,3.891891891891892,52.891891891891895,1957,37
2,1787,40.61363636363637,61,1.3863636363636365,52,1.1818181818181819,114,2.590909090909091,47.79545454545455,2103,44
3,1701,41.48780487804878,57,1.3902439024390243,52,1.2682926829268293,116,2.8292682926829267,45.292682926829265,1857,41
4,1735,43.375,64,1.6,58,1.45,94,2.35,46.45,1858,40
5,1705,32.78846153846154,63,1.2115384615384615,55,1.0576923076923077,95,1.8269230769230769,46.53846153846154,2420,52
6,1837,38.270833333333336,63,1.3125,59,1.2291666666666667,124,2.5833333333333335,48.604166666666664,2333,48
7,1671,46.416666666666664,46,1.2777777777777777,47,1.3055555555555556,119,3.3055555555555554,46.333333333333336,1668,36
8,1669,46.361111111111114,39,1.0833333333333333,35,0.9722222222222222,140,3.888888888888889,45.02777777777778,1621,36
9,1598,49.9375,53,1.65625,49,1.53125,71,2.21875,45.5625,1458,32
10,1191,29.775,35,0.875,28,0.7,31,0.775,44.125,1765,40
11,1192,29.073170731707318,33,0.8048780487804879,29,0.7073170731707317,42,1.024390243902439,43.19512195121951,1771,41
12,2184,62.4,85,2.4285714285714284,78,2.2285714285714286,159,4.542857142857143,53.34285714285714,1867,35
13,1915,49.1025641025641,71,1.8205128205128205,62,1.5897435897435896,154,3.948717948717949,56.12820512820513,2189,39
14,1469,34.16279069767442,38,0.8837209302325582,37,0.8604651162790697,98,2.2790697674418605,47.13953488372093,2027,43
15,1917,54.77142857142857,66,1.8857142857142857,60,1.7142857142857142,143,4.085714285714285,49.02857142857143,1716,35
16,1800,51.42857142857143,57,1.6285714285714286,48,1.3714285714285714,149,4.257142857142857,47.114285714285714,1649,35
17,1127,26.209302325581394,25,0.5813953488372093,22,0.5116279069767442,42,0.9767441860465116,43.2093023255814,1858,43
18,1561,32.520833333333336,61,1.2708333333333333,58,1.2083333333333333,68,1.4166666666666667,48.5625,2331,48
19,1539,46.63636363636363,44,1.3333333333333333,41,1.2424242424242424,86,2.606060606060606,46.90909090909091,1548,33
20,1604,34.869565217391305,53,1.1521739130434783,46,1.0,91,1.9782608695652173,45.45652173913044,2091,46
