id,web_name,team,element_type,now_cost,total_points,goals_scored,assists,clean_sheets,minutes,bonus,bps,influence,creativity,threat,ict_index,form,value_season
43,Kesler-Hayden,2,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,Konsa,2,2,45,103,2,0,8,2936,10,448,532.8,123.9,166.0,82.4,6.8,22.9
45,Maatsen,2,2,45,57,1,2,3,1125,0,204,252.0,293.4,197.0,74.3,3.5,12.7
46,Marschall,2,1,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47,Martinez,2,1,50,111,0,0,8,3195,6,457,839.6,20.0,0.0,86.0,5.2,22.2
48,McGinn,2,3,52,78,1,4,8,2217,1,360,277.2,500.6,263.0,103.7,3.2,15.0
49,Mings,2,2,44,47,0,1,4,1119,5,207,220.4,49.2,74.0,34.6,1.5,10.7
50,Nedeljkovic,2,2,39,5,0,0,0,121,0,11,22.8,7.2,0.0,3.0,0.0,1.3
51,Olsen,2,1,45,9,0,0,1,225,0,23,59.2,0.0,0.0,5.9,0.2,2.0
52,Pau,2,2,42,55,0,0,5,2019,3,254,350.6,84.5,102.0,54.0,3.5,13.1
53,Ramsey,2,3,54,66,1,4,5,1616,3,265,235.4,307.9,245.0,78.7,0.5,12.2
54,Rogers,2,3,58,161,8,11,10,3115,15,534,730.6,722.7,689.0,214.2,4.0,27.8
55,Sinisalo,2,1,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,Sousa,2,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
57,Tielemans,2,3,55,121,3,7,7,3025,15,686,799.6,963.1,333.0,209.6,3.0,22.0
58,Watkins,2,4,92,186,16,8,10,2593,32,631,766.0,345.2,1148.0,223.8,4.5,20.2
167,Disasi,2,2,42,33,1,0,3,851,0,133,169.6,75.6,51.0,29.7,0.0,7.9
233,Onana,2,3,48,65,3,0,6,1613,5,324,358.0,194.8,215.0,77.0,2.5,13.5
385,Rashford,2,3,66,95,6,4,7,1414,9,333,398.4,451.1,369.0,122.1,0.0,14.4
598,Bogarde,2,2,39,6,0,0,0,473,0,22,84.8,33.3,15.0,13.3,0.0,1.5
640,Swinkels,2,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
641,Zych,2,1,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
656,Young,2,3,44,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
679,Broggio,2,3,45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
710,Jimoh,2,3,45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
725,Malen,2,3,53,34,3,0,0,296,3,112,138.2,42.7,208.0,38.5,0.8,6.4
731,A. Garcia,2,2,45,8,0,0,0,316,0,26,45.6,68.4,7.0,12.0,0.0,1.8
737,Emery,2,5,8,105,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,131.2
762,M.Asensio,2,3,60,44,3,2,3,740,6,158,200.6,232.5,242.0,67.2,1.8,7.3
59,Aarons,3,2,43,8,0,0,1,84,0,31,13.2,3.2,0.0,1.7,0.0,1.9
60,Adams,3,3,49,58,0,3,6,1959,1,315,411.8,261.2,83.0,75.9,2.2,11.8
61,Anthony,3,3,45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,Brooks,3,3,49,52,2,1,3,941,2,204,193.6,316.7,300.0,80.4,1.5,10.6
63,Christie,3,3,48,76,2,3,8,2114,5,435,514.0,576.8,303.0,139.6,0.0,15.8
64,Cook,3,3,50,82,1,4,5,2976,3,500,607.0,727.1,114.0,144.9,0.8,16.4
65,Enes Ünal,3,4,54,32,2,1,2,330,4,97,104.0,56.1,207.0,35.9,0.0,5.9
66,Faivre,3,3,50,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,H.Traorè,3,3,45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
68,Hill,3,2,39,17,0,1,1,443,0,55,97.0,38.4,29.0,16.6,0.0,4.4
69,Jebbison,3,4,45,20,1,0,0,105,1,67,58.2,39.1,70.0,16.6,2.2,4.4
70,Kerkez,3,2,53,134,2,6,9,3336,10,550,694.0,642.0,238.0,157.3,2.8,25.3
71,Kluivert,3,3,59,158,12,6,13,2339,14,532,700.0,654.1,771.0,212.0,1.8,26.8
72,Mepham,3,2,44,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74,O.Dango,3,3,45,111,7,4,7,1998,7,432,624.6,496.8,754.0,187.2,0.2,24.7
75,Paulsen,3,1,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76,Philip,3,3,48,10,0,0,0,176,0,52,54.0,102.4,47.0,20.4,0.0,2.1
77,Scott,3,3,47,26,0,0,3,745,0,132,141.6,171.6,118.0,43.2,0.5,5.5
78,Semenyo,3,3,57,165,11,7,11,3202,14,571,792.2,688.9,1204.0,267.8,6.0,28.9
79,Senesi,3,2,46,31,0,0,2,1103,3,114,271.6,84.2,39.0,39.6,1.8,6.7
80,Sinisterra,3,3,48,23,1,1,0,229,2,90,112.0,115.3,195.0,42.3,0.0,4.8
81,Smith,3,2,44,57,0,0,6,1586,0,161,181.8,147.2,24.0,35.0,2.0,13.0
83,Tavernier,3,3,54,87,3,7,4,1932,4,362,447.0,664.8,442.0,155.4,3.0,16.1
84,Travers,3,1,44,19,0,0,1,450,1,76,146.4,0.0,0.0,14.6,0.0,4.3
85,Zabarnyi,3,2,44,94,0,1,8,3109,8,429,651.4,177.0,88.0,92.0,3.8,21.4
152,Arrizabalaga,3,1,46,106,0,0,8,2790,7,406,744.4,10.4,4.0,75.8,3.0,23.0
580,Huijsen,3,2,45,104,3,2,7,2422,14,449,826.4,217.6,193.0,123.6,3.2,23.1
592,J.Araujo,3,2,43,12,0,0,0,492,0,20,56.8,30.6,4.0,9.2,0.8,2.8
599,Dennis,3,1,39,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
617,Evanilson,3,4,59,128,10,5,11,2317,20,487,456.0,331.9,966.0,174.8,3.0,21.7
680,Kinsey,3,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
687,Winterburn,3,3,45,4,0,0,0,22,0,14,2.4,0.2,2.0,0.4,0.2,0.9
702,Harris,3,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
707,Rees-Dottin,3,4,45,1,0,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.2
712,Akinmboni,3,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
