id,web_name,team,element_type,bonus,bps,total_points,minutes,influence,creativity,threat
628,F.Kadıoğlu,5,2,0,59,19,385,116.4,83.7,40.0
629,O'Riley,5,3,2,209,50,929,211.4,322.5,219.0
663,Samuels,5,2,0,0,0,0,0.0,0.0,0.0
668,Cahill,5,1,0,0,0,0,0.0,0.0,0.0
681,McConville,5,2,0,0,0,0,0.0,0.0,0.0
685,Slater,5,2,0,0,0,0,0.0,0.0,0.0
714,Gómez,5,3,2,130,30,507,124.2,143.2,69.0
739,Hürzeler,5,5,0,0,119,0,0.0,0.0,0.0
758,Knight,5,3,0,0,0,0,0.0,0.0,0.0
763,Cashin,5,2,0,-2,1,19,7.0,0.6,0.0
791,Charlie Tasker,5,2,0,0,0,0,0.0,0.0,0.0
794,Freddie Simmonds,5,2,0,0,0,0,0.0,0.0,0.0
795,Harry Howell,5,3,0,5,1,6,2.0,0.9,6.0
150,Andrey Santos,6,3,0,0,0,0,0.0,0.0,0.0
151,Ângelo,6,3,0,0,0,0,0.0,0.0,0.0
153,B.Badiashile,6,2,0,35,7,332,66.0,12.6,0.0
154,Bergström,6,1,0,0,0,0,0.0,0.0,0.0
155,Bettinelli,6,1,0,0,0,0,0.0,0.0,0.0
157,Caicedo,6,3,4,650,98,3351,627.6,568.8,95.0
158,Casadei,6,3,0,0,0,0,0.0,0.0,0.0
159,Chalobah,6,2,11,379,93,1969,496.4,124.2,222.0
161,Chukwuemeka,6,3,0,0,0,0,0.0,0.0,0.0
162,Colwill,6,2,6,461,109,3150,692.0,214.3,185.0
163,Cucurella,6,2,14,533,133,2988,668.6,350.6,358.0
164,D.D.Fofana,6,4,0,0,0,0,0.0,0.0,0.0
165,Deivid,6,4,0,0,0,0,0.0,0.0,0.0
166,Dewsbury-Hall,6,3,1,71,18,257,57.4,47.4,21.0
168,Enzo,6,3,11,691,135,2943,761.6,1131.6,517.0
169,Gallagher,6,3,0,0,0,0,0.0,0.0,0.0
170,Gilchrist,6,2,0,0,0,0,0.0,0.0,0.0
171,Gusto,6,2,2,285,60,1853,336.8,394.6,147.0
172,James,6,2,5,223,54,1057,207.6,202.1,56.0
173,Kellyman,6,3,0,0,0,0,0.0,0.0,0.0
174,Lavia,6,3,0,125,26,792,113.2,121.7,7.0
175,Lukaku,6,4,0,0,0,0,0.0,0.0,0.0
176,M.Sarr,6,2,0,0,0,0,0.0,0.0,0.0
177,Madueke,6,3,12,425,120,2028,479.2,475.1,998.0
178,Marc Guiu,6,4,0,11,3,71,4.4,11.8,6.0
179,Mudryk,6,3,0,26,7,145,23.2,31.5,31.0
180,N.Jackson,6,4,17,417,121,2220,546.4,368.3,976.0
181,Nkunku,6,3,5,190,60,904,230.2,204.9,339.0
182,Palmer,6,3,35,952,214,3193,1068.2,1259.2,1052.0
183,Petrović,6,1,0,0,0,0,0.0,0.0,0.0
184,Renato Veiga,6,3,0,22,7,176,30.4,9.2,19.0
185,Sánchez,6,1,11,470,126,2880,755.6,20.0,0.0
187,Tosin,6,2,7,305,71,1403,352.2,48.2,92.0
189,W.Fofana,6,2,2,162,26,1172,200.2,85.0,33.0
386,Sancho,6,3,3,367,86,1754,340.0,523.2,414.0
560,Neto,6,3,9,434,104,2262,492.0,762.7,545.0
575,Wiley,6,2,0,0,0,0,0.0,0.0,0.0
581,Jørgensen,6,1,0,59,18,540,157.6,0.0,0.0
621,João Félix,6,3,0,90,24,362,88.0,95.4,141.0
695,Rak-Sakyi,6,3,0,0,0,0,0.0,0.0,0.0
