id,web_name,team,now_cost,total_points,goals_scored,assists,bonus,bps,influence,creativity,threat,ict_index,penalties_missed,minutes,form,points_per_game
473,Stewart,17,44,20,1,0,3,59,54.4,15.4,96.0,16.3,0,382,3.0,1.7
798,Jay Robinson,17,44,5,0,0,0,19,21.8,34.4,29.0,8.6,0,134,1.0,1.2
82,Solanke,18,73,108,9,5,7,404,505.8,199.8,729.0,142.1,0,2199,2.0,4.0
497,Richarlison,18,68,35,4,1,0,138,180.8,57.1,243.0,47.4,0,497,1.0,2.3
500,Scarlett,18,44,6,0,1,0,20,24.4,11.0,17.0,5.2,0,31,0.0,2.0
507,Veliz,18,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
609,Lankshear,18,45,3,0,0,0,7,0.0,0.0,0.0,0.0,0,10,0.0,1.0
123,Ferguson,19,55,28,1,0,2,97,80.0,68.5,104.0,25.0,0,385,0.2,1.3
512,Antonio,19,52,42,1,4,3,111,72.0,139.5,194.0,39.5,0,834,0.0,3.0
523,Ings,19,48,32,1,3,4,110,97.0,76.5,159.0,33.4,0,270,0.0,2.1
589,Füllkrug,19,67,42,3,2,3,152,187.2,173.3,221.0,56.8,0,783,1.5,2.3
539,Chiwome,20,44,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
541,Cunha,20,70,178,15,7,41,838,936.2,847.8,940.0,272.2,0,2596,1.2,5.4
545,Fábio Silva,20,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
546,Fraser,20,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
555,Kalajdžić,20,48,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
566,Strand Larsen,20,52,145,14,4,17,570,646.8,303.4,848.0,179.5,0,2587,4.0,4.1
784,Mané,20,45,1,0,0,0,3,0.0,0.3,0.0,0.0,0,1,0.2,1.0
