id,web_name,team,element_type,now_cost,total_points,value_season,value_rank,minutes
738,Iraola,3,5,11,82,74.5,6.0,0
86,Ajer,4,2,44,39,8.9,9.0,1433
87,Brierley,4,3,44,0,0.0,302.5,0
88,Collins,4,2,46,127,27.6,60.0,3420
89,Damsgaard,4,3,49,131,26.7,86.0,2911
90,Dasilva,4,3,48,0,0.0,302.5,0
91,Flekken,4,1,45,138,30.7,8.0,3275
92,Henry,4,2,43,4,0.9,168.5,94
93,Hickey,4,2,43,0,0.0,232.0,0
94,Janelt,4,3,48,73,15.2,163.0,2251
95,Jensen,4,3,53,38,7.2,35.5,846
96,Ji-soo,4,2,39,3,0.8,171.0,28
97,Konak,4,3,44,10,2.3,120.0,53
98,Lewis-Potter,4,3,50,94,18.8,132.0,3092
99,Mbeumo,4,3,83,236,28.4,80.0,3415
100,Mee,4,2,42,9,2.1,102.0,180
101,Nørgaard,4,3,48,107,22.3,98.0,2820
102,Onyeka,4,3,49,2,0.4,241.5,23
103,Peart-Harris,4,3,45,0,0.0,302.5,0
104,Pinnock,4,2,44,47,10.7,150.5,1912
105,Roerslev,4,2,43,36,8.4,12.0,1100
106,Schade,4,3,53,149,28.1,81.0,2281
107,Thiago,4,4,59,9,1.5,49.0,167
108,Toney,4,4,73,0,0.0,75.5,0
109,Valdimarsson,4,1,39,2,0.5,40.5,144
110,Wissa,4,4,69,185,26.8,23.0,2921
111,Yarmoliuk,4,3,43,43,10.0,209.5,1435
112,Zanka,4,2,45,0,0.0,232.0,0
314,Carvalho,4,3,45,35,7.8,26.5,443
338,Van den Berg,4,2,41,62,15.1,123.0,2584
602,Trevitt,4,3,44,1,0.2,251.0,3
634,G.Nunes,4,3,49,3,0.6,233.0,11
649,Meghoma,4,2,40,1,0.2,189.5,4
661,Yogane,4,3,45,0,0.0,302.5,0
674,Maghoma,4,3,45,8,1.8,215.0,112
705,Arthur,4,2,40,0,0.0,232.0,0
752,Frank,4,5,8,116,145.0,15.0,0
757,Kayode,4,2,45,27,6.0,35.5,523
759,Eyestone,4,1,40,0,0.0,63.5,0
780,Morgan,4,4,45,0,0.0,75.5,0
786,Benjamin Fredrick,4,2,40,0,0.0,232.0,0
113,Adingra,5,3,51,60,11.8,189.5,1081
114,Baker-Boaitey,5,3,45,0,0.0,302.5,0
115,Baleba,5,3,50,87,17.4,144.0,2660
116,Barco,5,2,40,0,0.0,232.0,0
118,Cozier-Duberry,5,3,45,0,0.0,302.5,0
119,Dahoud,5,3,49,0,0.0,302.5,0
120,Dunk,5,2,42,44,10.5,152.5,2081
122,Estupiñan,5,2,49,63,12.9,135.0,2399
124,Gilmour,5,3,50,3,0.6,233.0,97
125,Gross,5,3,65,0,0.0,302.5,0
126,Hinshelwood,5,3,49,89,18.2,137.5,1839
127,I.Osman,5,3,50,0,0.0,302.5,0
128,Igor,5,2,43,18,4.2,46.5,959
129,João Pedro,5,4,55,126,22.9,27.0,1946
130,Kozlowski,5,3,45,0,0.0,302.5,0
131,Lamptey,5,2,44,42,9.5,4.0,856
132,March,5,3,65,7,1.1,225.5,161
133,Mazilu,5,3,45,0,0.0,302.5,0
134,Milner,5,3,50,6,1.2,223.5,170
135,Minteh,5,3,48,102,21.2,105.0,1831
136,Mitoma,5,3,63,145,23.0,95.0,2597
137,Moder,5,3,44,4,0.9,229.5,9
138,O’Mahony,5,4,45,0,0.0,75.5,0
139,Offiah,5,2,40,0,0.0,232.0,0
140,Peupion,5,3,44,0,0.0,302.5,0
141,Sarmiento,5,3,49,1,0.2,251.0,8
142,Steele,5,1,40,9,2.2,28.0,180
143,Undav,5,4,55,0,0.0,75.5,0
144,Van Hecke,5,2,45,87,19.3,104.0,2960
145,Veltman,5,2,43,59,13.7,129.0,1694
146,Verbruggen,5,1,45,103,22.9,18.0,3240
147,Webster,5,2,43,39,9.1,7.0,885
148,Welbeck,5,4,55,125,22.7,28.0,2109
149,Wieffer,5,3,47,52,11.1,196.0,1003
595,Gruda,5,3,54,45,8.3,19.0,676
600,Ayari,5,3,50,74,14.8,167.0,1958
601,Moran,5,3,50,0,0.0,302.5,0
615,Rushworth,5,1,39,0,0.0,63.5,0
618,Georginio,5,3,50,95,19.0,129.5,1651
628,F.Kadıoğlu,5,2,44,19,4.3,45.0,385
629,O'Riley,5,3,55,50,9.1,10.0,929
663,Samuels,5,2,40,0,0.0,232.0,0
668,Cahill,5,1,39,0,0.0,63.5,0
681,McConville,5,2,40,0,0.0,232.0,0
685,Slater,5,2,40,0,0.0,232.0,0
714,Gómez,5,3,55,30,5.5,53.0,507
739,Hürzeler,5,5,11,119,108.2,18.0,0
758,Knight,5,3,45,0,0.0,302.5,0
763,Cashin,5,2,45,1,0.2,189.5,19
791,Charlie Tasker,5,2,40,0,0.0,232.0,0
794,Freddie Simmonds,5,2,40,0,0.0,232.0,0
795,Harry Howell,5,3,45,1,0.2,251.0,6
150,Andrey Santos,6,3,45,0,0.0,302.5,0
151,Ângelo,6,3,45,0,0.0,302.5,0
153,B.Badiashile,6,2,42,7,1.7,158.0,332
154,Bergström,6,1,39,0,0.0,63.5,0
155,Bettinelli,6,1,39,0,0.0,63.5,0
157,Caicedo,6,3,49,98,20.0,113.5,3351
158,Casadei,6,3,44,0,0.0,302.5,0
159,Chalobah,6,2,44,93,21.1,85.0,1969
161,Chukwuemeka,6,3,47,0,0.0,302.5,0
162,Colwill,6,2,44,109,24.8,68.0,3150
163,Cucurella,6,2,54,133,24.6,70.0,2988
164,D.D.Fofana,6,4,54,0,0.0,75.5,0
165,Deivid,6,4,49,0,0.0,75.5,0
166,Dewsbury-Hall,6,3,55,18,3.3,75.0,257
168,Enzo,6,3,47,135,28.7,79.0,2943
169,Gallagher,6,3,59,0,0.0,302.5,0
170,Gilchrist,6,2,40,0,0.0,232.0,0
171,Gusto,6,2,49,60,12.2,141.0,1853
172,James,6,2,48,54,11.2,146.5,1057
173,Kellyman,6,3,43,0,0.0,302.5,0
174,Lavia,6,3,45,26,5.8,49.0,792
175,Lukaku,6,4,63,0,0.0,75.5,0
176,M.Sarr,6,2,45,0,0.0,232.0,0
177,Madueke,6,3,60,120,20.0,113.5,2028
178,Marc Guiu,6,4,47,3,0.6,55.0,71
179,Mudryk,6,3,61,7,1.1,225.5,145
180,N.Jackson,6,4,77,121,15.7,38.0,2220
181,Nkunku,6,3,57,60,10.5,203.0,904
182,Palmer,6,3,105,214,20.4,109.0,3193
183,Petrović,6,1,44,0,0.0,63.5,0
184,Renato Veiga,6,3,44,7,1.6,217.5,176
185,Sánchez,6,1,45,126,28.0,13.0,2880
187,Tosin,6,2,42,71,16.9,116.0,1403
189,W.Fofana,6,2,43,26,6.0,35.5,1172
386,Sancho,6,3,62,86,13.9,178.0,1754
560,Neto,6,3,61,104,17.0,147.0,2262
575,Wiley,6,2,40,0,0.0,232.0,0
581,Jørgensen,6,1,42,18,4.3,5.5,540
621,João Félix,6,3,59,24,4.1,68.0,362
695,Rak-Sakyi,6,3,45,0,0.0,302.5,0
696,George,6,3,45,17,3.8,73.0,177
697,Acheampong,6,2,40,4,1.0,165.5,168
740,Maresca,6,5,15,94,62.7,10.0,0
771,Amougou,6,3,45,1,0.2,251.0,7
774,Anselmino,6,2,40,0,0.0,232.0,0
781,Mheuka,6,4,45,1,0.2,60.0,1
782,Samuels-Smith,6,2,40,0,0.0,232.0,0
787,Genesis Antwi,6,2,40,0,0.0,232.0,0
11,Nketiah,7,4,59,53,9.0,5.0,1018
160,Chilwell,7,2,46,13,2.8,95.0,254
190,Ahamada,7,3,45,0,0.0,302.5,0
193,C.Doucouré,7,3,48,19,4.0,69.5,443
194,C.Richards,7,2,44,68,15.5,121.0,1921
195,Chadi Riad,7,2,43,1,0.2,189.5,90
196,Clyne,7,2,43,18,4.2,46.5,477
197,Ebiowei,7,3,45,0,0.0,302.5,0
199,Eze,7,3,70,148,21.1,106.5,2588
200,Guéhi,7,2,47,116,24.7,69.0,3059
201,Henderson,7,1,46,135,29.3,11.0,3420
202,Holding,7,2,42,0,0.0,232.0,0
203,Hughes,7,3,49,67,13.7,179.0,2100
205,Kamada,7,3,51,45,8.8,13.0,1545
206,Lerma,7,3,48,58,12.1,186.5,2270
207,Mateta,7,4,75,150,20.0,33.0,2642
208,M.França,7,3,44,9,2.0,125.0,52
209,Matthews,7,1,39,0,0.0,63.5,0
210,Mitchell,7,2,48,123,25.6,64.0,3090
211,Muñoz,7,2,52,142,27.3,62.0,3229
212,Ozoh,7,3,45,0,0.0,302.5,0
213,Rak-Sakyi,7,3,45,0,0.0,302.5,0
214,Schlupp,7,3,46,12,2.6,117.0,95
215,Ward,7,2,43,1,0.2,189.5,71
216,Wharton,7,3,47,42,8.9,11.0,1314
445,Turner,7,1,39,0,0.0,63.5,0
585,I.Sarr,7,3,55,149,27.1,84.0,2708
644,Umeh-Chibueze,7,3,44,0,0.0,302.5,0
645,Devenny,7,3,45,34,7.6,30.0,494
646,Agbinone,7,3,45,2,0.4,241.5,4
647,Rodney,7,3,45,0,0.0,302.5,0
650,Lacroix,7,2,45,114,25.3,65.5,3116
666,Kporha,7,2,40,2,0.5,176.5,11
676,Marsh,7,4,45,0,0.0,75.5,0
730,Esse,7,3,47,22,4.7,61.5,138
741,Glasner,7,5,8,128,160.0,14.0,0
156,Broja,8,4,53,12,2.3,35.0,327
217,A.Doucoure,8,3,51,94,18.4,135.0,2563
218,Beto,8,4,48,87,18.1,36.0,1521
219,Branthwaite,8,2,49,88,18.0,111.0,2509
220,Calvert-Lewin,8,4,54,63,11.7,44.0,1602
221,Coleman,8,2,43,5,1.2,163.0,214
222,Gana,8,3,48,89,18.5,133.0,3063
223,Garner,8,3,49,42,8.6,16.0,1590
224,Harrison,8,3,52,81,15.6,159.0,2068
225,Holgate,8,2,40,1,0.2,189.5,5
226,Iroegbunam,8,3,43,22,5.1,58.5,562
227,J.Virginia,8,1,38,0,0.0,63.5,0
228,Keane,8,2,38,48,12.6,139.0,1046
229,Maupay,8,4,49,0,0.0,75.5,0
230,McNeil,8,3,51,93,18.2,137.5,1366
231,Mykolenko,8,2,44,121,27.5,61.0,3082
232,Ndiaye,8,4,52,114,21.9,30.0,2426
234,Patterson,8,2,44,14,3.2,56.0,342
235,Pickford,8,1,52,158,30.4,9.0,3420
236,Tarkowski,8,2,47,105,22.3,80.0,2922
237,Y. Chermiti,8,4,49,3,0.6,55.0,42
238,Young,8,2,42,98,23.3,75.0,1864
450,Alcaraz,8,3,47,44,9.4,6.5,766
577,Lindstrøm,8,3,50,44,8.8,13.0,1229
582,O'Brien,8,2,45,65,14.4,126.0,1568
603,Armstrong,8,3,44,2,0.5,236.5,47
614,Metcalfe,8,3,45,0,0.0,302.5,0
624,Begovic,8,1,40,0,0.0,63.5,0
627,Dixon,8,2,39,0,0.0,232.0,90
651,Mangala,8,3,50,39,7.8,26.5,1257
678,Bates,8,3,45,0,0.0,302.5,0
724,Sherif,8,4,45,0,0.0,75.5,0
742,Moyes,8,5,5,137,274.0,12.0,0
773,Heath,8,3,45,0,0.0,302.5,0
775,Coby Ebere,8,3,45,0,0.0,302.5,0
803,Welch,8,2,40,0,0.0,232.0,0
10,Nelson,9,3,50,27,5.4,55.0,483
19,Smith Rowe,9,3,50,114,22.8,96.0,2036
191,Andersen,9,2,42,51,12.1,142.5,2673
239,Adama,9,3,45,95,21.1,106.5,1756
240,Andreas,9,3,49,81,16.5,152.0,2004
241,Bassey,9,2,45,75,16.7,117.0,3074
242,Benda,9,1,39,0,0.0,63.5,0
243,Cairney,9,3,48,33,6.9,38.0,610
244,Castagne,9,2,42,46,11.0,149.0,1642
245,Diop,9,2,43,31,7.2,22.5,1334
246,Harris,9,3,45,0,0.0,302.5,0
247,Iwobi,9,3,54,156,28.9,77.5,2981
248,Leno,9,1,50,115,23.0,16.5,3420
249,Lukić,9,3,48,56,11.7,191.5,2348
250,Mbabu,9,2,40,0,0.0,232.0,0
251,Muniz,9,4,55,86,15.6,39.0,943
252,Raúl,9,4,53,147,27.7,22.0,2486
253,Ream,9,2,45,0,0.0,232.0,0
254,Reed,9,3,47,10,2.1,123.5,100
255,Robinson,9,2,47,106,22.6,79.0,3166
256,Stansfield,9,4,50,1,0.2,60.0,1
257,Tete,9,2,44,49,11.1,148.0,1773
258,Vinicius,9,4,50,3,0.6,55.0,13
259,Wilson,9,3,52,78,15.0,165.5,1148
579,Sessegnon,9,2,42,57,13.6,130.0,574
586,J.Cuenca,9,2,44,9,2.0,103.0,349
604,King,9,3,44,10,2.3,120.0,126
605,Godo,9,3,44,2,0.5,236.5,21
622,Berge,9,3,50,53,10.6,201.0,2221
690,Amissah,9,2,40,0,0.0,232.0,0
753,Silva,9,5,11,94,85.5,2.0,0
772,Willian,9,3,50,13,2.6,117.0,251
121,Enciso,10,3,54,59,10.9,197.5,1155
260,Al-Hamadi,10,4,47,8,1.7,47.0,125
261,Baggott,10,2,40,0,0.0,232.0,0
262,Broadhead,10,3,49,37,7.6,30.0,690
263,Burgess,10,2,38,26,6.8,27.5,1540
264,Burns,10,3,47,30,6.4,41.0,922
265,Chaplin,10,3,51,41,8.0,23.5,845
266,H.Clarke,10,2,40,1,0.2,189.5,377
267,Davis,10,2,42,52,12.4,140.0,2742
268,Delap,10,4,56,132,23.6,26.0,2587
269,Edmundson,10,2,40,1,0.2,189.5,1
270,Greaves,10,2,38,37,9.7,3.0,2205
271,Harness,10,3,49,2,0.4,241.5,43
272,Hirst,10,4,54,46,8.5,7.0,645
273,Humphreys,10,3,45,0,0.0,302.5,0
274,Hutchinson,10,3,52,88,16.9,148.0,2585
275,Johnson,10,2,38,30,7.9,18.0,1346
276,Ladapo,10,4,45,0,0.0,75.5,0
277,Luongo,10,3,43,13,3.0,76.0,195
278,Morsy,10,3,48,67,14.0,175.5,2749
279,Ndaba,10,2,40,0,0.0,232.0,0
280,Slicker,10,1,39,0,0.0,63.5,0
281,Taylor,10,3,48,38,7.9,25.0,837
282,Tuanzebe,10,2,39,27,6.9,25.5,1710
283,Walton,10,1,43,16,3.7,10.0,630
284,Woolfenden,10,2,39,18,4.6,43.0,1187
359,Phillips,10,3,48,27,5.6,51.0,1231
568,Muric,10,1,44,49,11.1,35.0,1620
569,Jaden,10,3,53,37,7.0,37.0,796
583,Townsend,10,2,39,11,2.8,95.0,334
611,Szmodics,10,3,57,54,9.5,5.0,988
619,Cajuste,10,3,45,63,14.0,175.5,1960
630,O'Shea,10,2,38,49,12.9,135.0,3122
631,J.Clarke,10,3,54,53,9.8,2.5,1161
632,Ogbene,10,3,48,7,1.5,219.5,237
715,Godfrey,10,2,40,-1,-0.2,268.0,158
743,McKenna,10,5,5,51,102.0,20.0,0
764,Palmer,10,1,45,22,4.9,3.0,1170
799,Boniface,10,2,40,0,0.0,232.0,0
800,Tom Taylor,10,3,45,0,0.0,302.5,0
117,Buonanotte,11,3,45,75,16.7,150.0,1508
192,J.Ayew,11,3,51,75,14.7,168.5,1649
198,Edouard,11,4,51,7,1.4,50.5,141
285,B.Soumaré,11,3,44,48,10.9,197.5,2165
286,Cannon,11,4,45,0,0.0,75.5,0
287,Choudhury,11,3,44,4,0.9,229.5,129
288,Coady,11,2,40,39,9.8,1.5,1712
289,Daka,11,4,48,34,7.1,9.0,717
290,De Cordova-Reid,11,3,52,48,9.2,9.0,734
291,Faes,11,2,38,55,14.5,125.0,2812
292,Golding,11,3,44,1,0.2,251.0,1
293,Hermansen,11,1,44,63,14.3,32.0,2385
294,Iversen,11,1,39,0,0.0,63.5,0
295,Justin,11,2,41,70,17.1,115.0,2912
296,Kristiansen,11,2,44,34,7.7,21.0,2481
297,Marcal,11,3,45,0,0.0,302.5,0
298,Mavididi,11,3,50,72,14.4,170.5,1606
299,McAteer,11,3,47,35,7.4,33.0,846
300,Ndidi,11,3,49,64,13.1,182.0,2325
301,Okoli,11,2,40,27,6.8,27.5,1122
302,Ricardo,11,2,41,10,2.4,100.0,382
303,Souttar,11,2,40,0,0.0,232.0,0
304,Stolarczyk,11,1,40,25,6.2,2.0,900
305,Thomas,11,2,39,27,6.9,25.5,1109
306,Vardy,11,4,54,128,23.7,25.0,2825
307,Vestergaard,11,2,39,11,2.8,95.0,1390
308,Ward,11,1,39,2,0.5,40.5,135
309,Winks,11,3,43,40,9.3,8.0,1536
501,Skipp,11,3,47,27,5.7,50.0,1118
570,A.Fatawu,11,3,51,26,5.1,58.5,576
606,Alves,11,3,44,1,0.2,251.0,1
616,Nelson,11,2,40,0,0.0,232.0,0
635,El Khannouss,11,3,48,83,17.3,145.0,2179
694,Cartwright,11,3,45,0,0.0,302.5,0
708,Wilson-Brown,11,2,40,0,0.0,232.0,0
726,Coulibaly,11,2,40,1,0.2,189.5,107
754,Van Nistelrooy,11,5,5,48,96.0,1.0,0
792,Monga,11,3,45,7,1.6,217.5,105
796,Olabade Aluko,11,2,40,1,0.2,189.5,1
797,Jake Evans,11,3,45,4,0.9,229.5,21
802,Braybrooke,11,3,45,0,0.0,302.5,0
