id,web_name,team,element_type,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,minutes
318,Doak,12,3,0,0,0,0,0,0,0,0,0
319,Elliott,12,3,0,6,0,0,1,0,0,3,359
320,Endo,12,3,0,5,0,0,0,0,0,0,259
321,Gakpo,12,4,5,25,0,0,5,0,0,22,1921
322,Gomez,12,2,1,8,0,0,1,0,0,0,517
323,Gravenberch,12,3,14,35,0,0,5,1,0,1,3160
324,Jones,12,3,6,27,0,0,1,1,0,4,1702
325,Kelleher,12,1,4,12,0,1,0,0,27,1,900
326,Konaté,12,2,11,28,0,0,5,0,0,4,2561
327,Luis Díaz,12,3,15,21,0,0,2,0,0,21,2393
328,M.Salah,12,3,15,40,0,0,1,0,0,55,3374
329,Mac Allister,12,3,14,24,0,0,6,0,0,8,2597
330,McConnell,12,3,0,0,0,0,0,0,0,0,0
331,Morton,12,3,0,0,0,0,0,0,0,0,0
332,N.Phillips,12,2,0,0,0,0,0,0,0,0,0
333,Quansah,12,2,0,12,1,0,2,0,0,0,488
334,R.Williams,12,2,0,0,0,0,0,0,0,0,0
335,Robertson,12,2,10,32,1,0,3,1,0,4,2479
336,Szoboszlai,12,3,12,29,0,0,6,0,0,14,2485
337,Tsimikas,12,2,4,8,0,0,2,0,0,3,829
339,Virgil,12,2,14,38,0,0,5,0,0,8,3330
636,Chiesa,12,3,0,3,0,0,0,0,0,0,103
660,Jaros,12,1,0,0,0,0,0,0,1,0,11
669,Davies,12,1,0,0,0,0,0,0,0,0,0
688,Nyoni,12,3,0,0,0,0,0,0,0,0,0
692,Nallo,12,2,0,0,0,0,0,0,0,0,0
709,Danns,12,4,0,1,0,0,0,0,0,0,10
744,Slot,12,5,0,0,0,0,0,0,0,0,0
340,Akanji,13,2,6,28,0,0,3,0,0,1,2012
341,Aké,13,2,3,11,0,0,0,0,0,0,677
342,Bernardo,13,3,10,36,0,0,7,0,0,13,2667
343,Bobb,13,3,0,1,0,0,0,0,0,0,14
344,Carson,13,1,0,0,0,0,0,0,0,0,0
345,De Bruyne,13,3,10,19,0,0,2,0,0,12,1694
346,Doku,13,3,8,14,0,0,1,0,0,3,1506
347,Ederson M.,13,1,10,26,0,0,4,0,54,9,2320
348,Foden,13,3,6,24,0,0,2,0,0,10,1771
349,Grealish,13,3,2,10,0,0,3,0,0,4,710
350,Gvardiol,13,2,13,41,0,0,2,0,0,15,3278
351,Haaland,13,4,10,38,0,0,2,0,0,26,2736
352,J.Alvarez,13,4,0,0,0,0,0,0,0,0,0
353,João Cancelo,13,2,0,0,0,0,0,0,0,0,0
354,Kovačić,13,3,10,29,0,0,5,1,0,13,2194
355,Lewis,13,2,5,27,0,0,3,1,0,1,1888
356,Matheus N.,13,3,9,19,0,0,4,0,0,6,1670
357,McAtee,13,3,0,6,0,0,1,0,0,0,340
358,Ortega Moreno,13,1,3,18,0,0,1,0,33,0,1099
360,Rodrigo,13,3,0,1,0,0,0,0,0,0,72
361,Rúben,13,2,11,21,1,0,4,0,0,7,2269
362,Stones,13,2,1,11,0,0,1,0,0,2,544
363,Walker,13,2,0,21,0,0,3,0,0,0,966
571,Savinho,13,3,8,25,0,0,3,0,0,15,1760
607,O’Reilly,13,3,3,3,0,0,0,0,0,4,525
625,Gündogan,13,3,10,28,0,0,1,0,0,5,2218
626,Kaboré,13,2,0,0,0,0,0,0,0,0,0
671,Wright,13,3,0,0,0,0,0,0,0,0,0
672,Simpson-Pusey,13,2,0,2,0,0,1,0,0,0,95
675,Wilson-Esbrand,13,2,0,0,0,0,0,0,0,0,0
698,Mubama,13,4,0,0,0,0,0,0,0,0,27
703,Alleyne,13,2,0,0,0,0,0,0,0,0,0
704,Brits,13,1,0,0,0,0,0,0,0,0,0
732,Khusanov,13,2,2,6,1,0,1,0,0,0,503
733,Vitor Reis,13,2,0,0,0,0,0,0,0,0,1
736,Guardiola,13,5,0,0,0,0,0,0,0,0,0
755,Marmoush,13,4,8,12,0,0,0,0,0,12,1174
765,N.Gonzalez,13,3,6,7,0,0,3,0,0,0,760
785,Echeverri,13,3,0,0,0,0,0,0,0,0,5
364,Amad,14,3,7,30,0,0,5,0,0,17,1898
365,Antony,14,3,0,2,0,0,0,0,0,0,135
366,B.Fernandes,14,3,10,47,0,0,3,2,0,28,3017
367,Bayindir,14,1,1,10,0,0,0,0,8,0,360
368,Casemiro,14,3,6,20,0,0,5,0,0,3,1489
369,Dalot,14,2,8,45,0,0,5,0,0,9,2812
370,Eriksen,14,3,4,16,0,0,4,0,0,0,1052
371,Evans,14,2,1,2,0,0,1,0,0,3,312
372,Garnacho,14,3,5,36,0,0,3,0,0,7,2188
373,Hannibal,14,3,0,0,0,0,0,0,0,0,0
374,Heaton,14,1,0,0,0,0,0,0,0,0,0
375,Højlund,14,4,6,31,0,0,2,0,0,8,1998
376,Lindelof,14,2,2,9,0,0,1,0,0,0,695
377,Maguire,14,2,3,27,0,0,7,0,0,3,1751
378,Mainoo,14,3,5,27,0,0,5,0,0,0,1646
379,Malacia,14,2,0,1,0,0,1,0,0,0,99
380,Martinez,14,2,6,27,0,0,7,0,0,5,1751
381,McTominay,14,3,0,1,0,0,0,0,0,0,17
382,Mount,14,3,3,11,0,0,3,0,0,0,613
383,Onana,14,1,9,44,0,1,0,0,90,8,3060
384,Pellistri,14,3,0,0,0,0,0,0,0,0,0
387,Shaw,14,2,0,5,1,0,1,0,0,0,346
389,Zirkzee,14,4,3,24,0,0,2,0,0,6,1385
572,Yoro,14,2,1,24,0,0,5,0,0,0,1160
593,De Ligt,14,2,4,36,0,0,3,0,0,3,2119
594,Mazraoui,14,2,7,43,0,0,3,0,0,5,2836
613,Collyer,14,3,0,2,0,0,0,0,0,0,174
648,Wheatley,14,4,0,0,0,0,0,0,0,0,0
652,Ugarte,14,3,4,33,1,0,11,0,0,1,1777
658,Heaven,14,2,1,1,0,0,1,0,0,2,169
667,Fletcher,14,3,0,0,0,0,0,0,0,0,0
670,Amass,14,2,0,9,0,0,0,0,0,0,345
673,Fitzgerald,14,3,0,0,0,0,0,0,0,0,0
691,Kukonki,14,2,0,0,0,0,0,0,0,0,0
745,Amorim,14,5,0,0,0,0,0,0,0,0,0
761,Harrison,14,1,0,0,0,0,0,0,0,0,0
766,Dorgu,14,2,2,12,0,0,3,1,0,1,840
776,Obi,14,4,0,5,0,0,1,0,0,0,160
777,Fredricson,14,2,0,5,0,0,0,0,0,0,166
778,Moorhouse,14,3,0,0,0,0,0,0,0,0,0
779,Koné,14,3,0,0,0,0,0,0,0,0,0
783,Graczyk,14,1,0,0,0,0,0,0,0,0,0
788,Dermot Mee,14,1,0,0,0,0,0,0,0,0,0
390,A.Murphy,15,2,0,0,0,0,0,0,0,0,0
391,Almirón,15,3,0,3,0,0,0,0,0,0,150
392,Barnes,15,3,6,23,0,0,0,0,0,13,1746
393,Botman,15,2,2,4,0,0,1,0,0,0,412
394,Bruno G.,15,3,13,44,0,0,7,0,0,10,3273
395,Burn,15,2,13,45,2,0,11,0,0,9,3330
396,Dúbravka,15,1,5,12,0,0,0,0,29,2,900
398,Gordon,15,3,10,33,0,0,2,0,0,9,2428
399,Hall,15,2,8,31,0,0,3,0,0,11,2188
400,Hayden,15,3,0,0,0,0,0,0,0,0,0
401,Isak,15,4,12,41,0,0,1,0,0,36,2758
402,J.Murphy,15,3,11,31,0,0,4,0,0,11,2356
403,Joelinton,15,3,10,32,0,0,10,0,0,11,2394
404,Kelly,15,2,0,6,0,0,2,0,0,0,299
405,Krafth,15,2,1,2,0,0,2,0,0,0,334
406,Kuol,15,3,0,0,0,0,0,0,0,0,0
407,Lascelles,15,2,0,0,0,0,0,0,0,0,0
408,Lewis,15,2,0,0,0,0,0,0,0,0,0
409,Livramento,15,2,10,40,0,0,1,0,0,6,2835
410,Longstaff,15,3,2,11,0,0,2,0,0,0,783
411,Miley,15,3,0,4,0,0,0,0,0,1,304
412,Odysseas,15,1,0,0,0,0,0,0,0,0,0
413,Pope,15,1,8,35,0,1,2,0,88,2,2520
414,Ruddy,15,1,0,0,0,0,0,0,0,0,0
415,Schär,15,2,11,42,0,0,9,1,0,4,2935
416,Targett,15,2,0,0,0,0,0,0,0,0,20
417,Tonali,15,3,11,34,0,0,5,0,0,10,2625
418,Trippier,15,2,6,18,0,0,1,0,0,8,1299
419,White,15,3,0,0,0,0,0,0,0,0,0
420,Willock,15,3,4,16,0,0,4,0,0,0,1065
421,Wilson,15,4,0,7,0,0,1,0,0,0,355
574,Pivas,15,2,0,0,0,0,0,0,0,0,0
590,Osula,15,4,0,3,0,0,0,0,0,1,124
746,Howe,15,5,0,0,0,0,0,0,0,0,0
789,Neave,15,4,0,0,0,0,0,0,0,0,0
26,Alex Moreno,16,2,3,16,0,0,2,0,0,1,952
422,Aina,16,2,12,39,0,0,5,0,0,15,2996
423,Anderson,16,3,13,37,0,0,10,0,0,8,2726
424,Awoniyi,16,4,1,10,0,0,0,0,0,0,398
425,Boly,16,2,0,1,0,0,1,0,0,0,146
426,Bowler,16,3,0,0,0,0,0,0,0,0,0
427,C.Miguel,16,1,0,0,0,0,0,0,0,0,0
428,Da Silva Moreira,16,3,0,0,0,0,0,0,0,0,28
429,Danilo,16,3,1,4,0,0,0,0,0,0,270
430,Dennis,16,4,0,0,0,0,0,0,0,0,0
431,Dominguez,16,3,7,27,0,0,9,0,0,0,1954
432,Elanga,16,3,12,35,0,0,1,0,0,15,2496
433,Gibbs-White,16,3,13,34,0,0,9,1,0,18,2806
434,Hudson-Odoi,16,3,11,23,0,0,2,0,0,7,2190
435,Mighten,16,3,0,0,0,0,0,0,0,0,0
436,Murillo,16,2,12,44,0,0,6,0,0,18,3188
437,N.Williams,16,2,10,31,0,0,7,0,0,8,2588
438,O.Richards,16,2,0,0,0,0,0,0,0,0,0
439,O'Brien,16,3,0,0,0,0,0,0,0,0,0
440,Omobamidele,16,2,0,0,0,0,0,0,0,0,0
441,Panzo,16,2,0,0,0,0,0,0,0,0,0
442,Sangaré,16,3,2,6,0,0,3,0,0,0,584
443,Sels,16,1,13,46,0,0,4,0,120,11,3420
444,Toffolo,16,2,0,2,0,0,1,0,0,0,135
446,Ui-jo,16,4,0,0,0,0,0,0,0,0,0
447,Wood,16,4,15,37,0,0,1,0,0,41,2958
448,Worrall,16,2,0,0,0,0,0,0,0,0,0
449,Yates,16,3,6,27,0,0,10,0,0,3,1901
573,Milenković,16,2,13,45,0,0,4,0,0,2,3330
596,Jota Silva,16,3,1,16,0,0,5,0,0,0,835
620,Sosa,16,3,1,5,0,0,1,0,0,0,280
653,Morato,16,2,3,14,0,0,5,0,0,2,891
706,Abbott,16,2,0,0,0,0,0,0,0,0,0
721,Hennessey,16,1,0,0,0,0,0,0,0,0,0
747,Nuno,16,5,0,0,0,0,0,0,0,0,0
14,Ramsdale,17,1,3,66,0,2,2,0,125,11,2700
27,Archer,17,4,2,34,0,0,0,0,0,4,1421
188,Ugochukwu,17,3,1,39,0,0,7,0,0,3,1652
397,Fraser,17,3,0,12,0,0,0,1,0,0,303
451,Amo-Ameyaw,17,3,0,0,0,0,1,0,0,0,26
452,Aribo,17,3,1,56,0,0,1,0,0,7,2007
453,Armstrong,17,4,2,35,0,0,4,0,0,2,1246
454,Bazunu,17,1,0,0,0,0,0,0,0,0,0
455,Bednarek,17,2,3,57,0,0,7,0,0,3,2531
456,Bella-Kotchap,17,2,0,13,0,0,0,0,0,0,329
457,Bree,17,2,1,31,0,0,0,0,0,0,1070
458,Charles,17,3,0,0,0,0,0,0,0,0,0
459,Edozie,17,3,0,0,0,0,1,0,0,0,64
460,Edwards,17,2,0,1,0,0,0,0,0,0,12
461,Harwood-Bellis,17,2,3,65,0,0,9,0,0,2,2824
462,Kamaldeen,17,3,3,36,0,0,2,0,0,2,1394
463,Lallana,17,3,0,8,0,0,4,0,0,1,352
464,Larios,17,2,0,0,0,0,0,0,0,0,0
465,Lis,17,1,0,0,0,0,0,0,0,0,0
466,Lumley,17,1,0,7,0,0,0,0,13,0,270
467,Manning,17,2,1,35,0,0,2,0,0,0,1458
468,Mara,17,4,0,0,0,0,0,0,0,0,0
469,McCarthy,17,1,0,13,0,0,0,0,24,0,450
470,Onuachu,17,4,1,26,0,0,4,0,0,4,1038
471,Smallbone,17,3,0,22,0,0,1,0,0,0,679
472,Stephens,17,2,2,31,0,0,2,2,0,2,1389
473,Stewart,17,4,1,9,0,0,1,0,0,3,382
474,Sugawara,17,2,2,46,0,0,4,0,0,0,1548
475,Taylor,17,2,0,12,0,0,1,0,0,0,353
476,Walker-Peters,17,2,2,77,0,0,5,0,0,3,2918
477,Wood,17,2,1,20,0,0,2,0,0,2,771
515,Cornet,17,3,0,4,0,0,1,0,0,0,71
518,Downes,17,3,4,49,0,0,12,0,0,0,2149
584,Brereton Díaz,17,3,0,10,0,0,1,0,0,0,446
608,Dibling,17,3,3,50,0,0,6,0,0,4,1863
623,M.Fernandes,17,3,5,66,0,0,8,0,0,8,2911
693,O'Brien-Whitmarsh,17,3,0,0,0,0,0,0,0,0,0
718,Welington,17,2,1,10,0,0,1,0,0,0,478
719,Kayi Sanda,17,2,0,1,0,0,0,0,0,0,12
734,Grønbæk,17,3,0,3,0,0,0,0,0,0,141
748,Rusk,17,5,0,0,0,0,0,0,0,0,0
798,Jay Robinson,17,4,0,2,0,0,0,0,0,0,134
804,Moore,17,2,0,0,0,0,0,0,0,0,0
82,Solanke,18,4,4,43,1,0,0,0,0,7,2199
478,A.Phillips,18,2,0,0,0,0,0,0,0,0,0
479,Austin,18,1,0,2,0,0,0,0,2,0,90
480,Bentancur,18,3,3,26,0,0,9,0,0,1,1640
481,Bergvall,18,3,3,25,0,0,3,0,0,0,1200
482,Bissouma,18,3,3,28,0,0,7,0,0,4,1396
483,Bryan,18,3,0,0,0,0,0,0,0,0,0
484,Davies,18,2,3,26,0,0,5,0,0,0,1329
485,Devine,18,3,0,0,0,0,0,0,0,0,0
486,Dragusin,18,2,2,29,0,0,1,0,0,0,1250
487,E.Royal,18,2,0,0,0,0,0,0,0,0,0
488,Forster,18,1,1,15,0,0,0,0,29,0,630
489,Gray,18,3,2,41,1,0,1,0,0,0,1750
490,Højbjerg,18,3,0,0,0,0,0,0,0,0,0
491,Johnson,18,3,2,38,0,0,5,0,0,13,2171
492,Kulusevski,18,3,6,41,0,0,3,0,0,9,2386
493,Lo Celso,18,3,0,0,0,0,0,0,0,0,0
494,Maddison,18,3,6,32,0,0,6,0,0,15,1799
495,Pedro Porro,18,2,6,47,0,0,5,0,0,6,2606
496,Reguilón,18,2,0,3,0,0,2,0,0,0,194
497,Richarlison,18,4,1,9,0,0,2,0,0,0,497
498,Romero,18,2,3,22,0,0,3,0,0,3,1416
499,P.M.Sarr,18,3,2,38,0,0,6,0,0,4,1901
500,Scarlett,18,4,0,1,0,0,0,0,0,0,31
502,Solomon,18,3,0,0,0,0,0,0,0,0,0
503,Son,18,3,4,35,0,0,1,0,0,12,2106
504,Spence,18,2,3,39,1,0,2,1,0,6,1790
505,Udogie,18,2,2,35,1,0,2,0,0,0,1923
506,Van de Ven,18,2,2,17,0,0,4,0,0,2,1014
507,Veliz,18,4,0,0,0,0,0,0,0,0,0
508,Vicario,18,1,4,37,0,0,1,0,68,2,2160
509,Werner,18,3,1,12,0,0,0,0,0,2,504
510,Whiteman,18,1,0,0,0,0,0,0,0,0,0
609,Lankshear,18,4,0,0,0,0,0,0,0,0,10
610,Moore,18,3,0,5,0,0,0,0,0,0,359
612,Odobert,18,3,1,20,0,0,0,0,0,3,843
683,Olusesi,18,3,0,0,0,0,0,0,0,0,0
684,Hardy,18,2,0,0,0,0,0,0,0,0,0
689,Williams-Barnett,18,3,0,0,0,0,0,0,0,0,0
699,Dorrington,18,2,0,0,0,0,0,0,0,0,13
700,King,18,2,0,0,0,0,0,0,0,0,0
716,Kinsky,18,1,1,11,0,0,0,0,24,0,540
717,Yang,18,3,0,0,0,0,0,0,0,0,0
729,Ajayi,18,3,0,0,0,0,0,0,0,0,0
749,Postecoglou,18,5,0,0,0,0,0,0,0,0,0
760,Cassanova,18,2,0,0,0,0,0,0,0,0,0
767,Danso,18,2,1,18,0,0,0,0,0,0,842
768,Tel,18,3,2,20,0,0,2,0,0,2,908
123,Ferguson,19,4,1,9,0,0,0,0,0,2,385
388,Wan-Bissaka,19,2,6,59,1,0,1,0,0,15,3154
511,Álvarez,19,3,3,31,0,0,7,1,0,0,1769
512,Antonio,19,4,4,18,0,0,1,0,0,3,834
513,Areola,19,1,4,41,1,0,0,0,82,1,2259
514,Bowen,19,3,8,50,0,0,1,0,0,21,2974
516,Coufal,19,2,2,21,1,0,5,0,0,1,1056
517,Cresswell,19,2,3,8,0,0,3,0,0,3,818
519,Earthy,19,3,0,0,0,0,0,0,0,0,0
520,Emerson,19,2,5,41,0,0,5,0,0,4,2108
521,Fabianski,19,1,2,21,0,0,2,0,50,2,1160
522,Foderingham,19,1,0,0,0,0,0,0,0,0,0
523,Ings,19,4,0,4,0,0,0,0,0,4,270
524,Kilman,19,2,6,62,0,0,5,0,0,5,3348
525,Kudus,19,3,7,46,0,0,2,1,0,5,2589
526,L.Guilherme,19,3,0,5,0,0,0,0,0,0,139
527,L.Paquetá,19,3,4,50,0,0,10,0,0,5,2374
528,Mavropanos,19,2,2,39,0,0,4,1,0,4,2035
529,N.Aguerd,19,2,0,0,0,0,0,0,0,0,0
530,Souček,19,3,7,44,0,0,8,0,0,15,2563
531,Ward-Prowse,19,3,5,18,0,0,2,1,0,2,1433
532,Zouma,19,2,0,0,0,0,0,0,0,0,0
576,Irving,19,3,0,4,0,0,2,0,0,0,161
587,Summerville,19,3,2,20,0,0,2,0,0,2,776
588,G.Rodríguez,19,3,4,19,0,0,6,0,0,0,1147
589,Füllkrug,19,4,2,18,0,0,2,0,0,3,783
591,Todibo,19,2,5,33,0,0,3,0,0,1,1824
643,Casey,19,2,0,0,0,0,0,0,0,0,1
654,C.Soler,19,3,2,25,0,0,6,0,0,2,1394
677,Scarles,19,2,2,9,0,0,1,0,0,2,659
686,Mayers,19,2,0,0,0,0,0,0,0,0,0
701,Orford,19,3,0,1,0,0,0,0,0,0,47
750,Potter,19,5,0,0,0,0,0,0,0,0,0
204,Johnstone,20,1,0,17,0,0,0,0,23,0,630
533,Aït-Nouri,20,2,7,67,0,0,5,1,0,13,3112
534,B.Traore,20,3,0,0,0,0,0,0,0,0,1
535,Bellegarde,20,3,6,31,0,0,3,0,0,5,1666
536,Bentley,20,1,1,4,0,0,0,0,8,1,180
537,Chiquinho,20,3,0,0,0,0,0,0,0,0,6
538,Chirewa,20,3,0,0,0,0,0,0,0,0,0
539,Chiwome,20,4,0,0,0,0,0,0,0,0,0
540,Cundle,20,3,0,0,0,0,0,0,0,0,0
541,Cunha,20,4,7,54,0,0,4,0,0,41,2596
542,Dawson,20,2,1,25,2,0,2,0,0,1,969
543,Doherty,20,2,6,38,1,0,6,0,0,4,2105
544,Doyle,20,3,0,10,0,0,1,0,0,0,474
545,Fábio Silva,20,4,0,0,0,0,0,0,0,0,0
546,Fraser,20,4,0,0,0,0,0,0,0,0,0
547,Gonzalez,20,3,0,0,0,0,0,0,0,0,0
548,Guedes,20,3,3,25,0,0,1,0,0,2,979
549,H.Bueno,20,2,0,0,0,0,0,0,0,0,0
550,Hee Chan,20,3,0,19,0,0,0,0,0,0,646
551,Hodge,20,3,0,0,0,0,0,0,0,0,0
552,Hoever,20,2,0,0,0,0,0,0,0,0,0
553,J.Gomes,20,3,6,59,0,0,9,1,0,7,2975
554,José Sá,20,1,7,48,0,2,2,0,71,4,2610
555,Kalajdžić,20,4,0,0,0,0,0,0,0,0,0
556,King,20,1,0,0,0,0,0,0,0,0,1
557,Mario Jr.,20,3,1,39,0,0,4,0,0,5,1363
558,Mosquera,20,2,0,12,0,0,2,0,0,0,441
559,N.Semedo,20,2,8,49,0,0,8,0,0,0,2889
561,Pedro Lima,20,2,0,2,0,0,0,0,0,0,69
562,Podence,20,3,0,2,0,0,0,0,0,0,46
563,R.Gomes,20,3,1,20,0,0,0,0,0,0,794
564,S.Bueno,20,2,5,34,0,0,2,0,0,2,1678
565,Sarabia,20,3,1,17,0,0,3,0,0,3,800
566,Strand Larsen,20,4,7,52,0,0,4,0,0,17,2587
567,Toti,20,2,8,45,0,0,7,0,0,8,2613
637,Meupiyou,20,2,0,0,0,0,0,0,0,0,0
642,André,20,3,7,46,0,0,7,0,0,1,2472
655,Forbs,20,3,0,9,0,0,2,0,0,0,236
664,Pond,20,2,0,0,0,0,0,0,0,0,1
682,Edozie,20,3,0,0,0,0,0,0,0,0,0
711,Okoduwa,20,2,0,0,0,0,0,0,0,0,0
720,Agbadou,20,2,4,22,0,0,3,0,0,1,1410
751,Pereira,20,5,0,0,0,0,0,0,0,0,0
769,Djiga,20,2,0,2,0,0,0,0,0,0,65
770,Munetsi,20,3,5,11,0,0,0,0,0,4,1077
784,Mané,20,4,0,0,0,0,0,0,0,0,1
