id,web_name,team,element_type,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,minutes
69,Jebbison,3,4,0,2,0,0,1,0,0,1,105
70,Kerkez,3,2,9,45,0,0,4,0,0,10,3336
71,Kluivert,3,3,13,29,0,0,8,0,0,14,2339
72,Mepham,3,2,0,0,0,0,0,0,0,0,0
74,O.Dango,3,3,7,23,0,0,3,0,0,7,1998
75,Paulsen,3,1,0,0,0,0,0,0,0,0,0
76,Philip,3,3,0,4,0,0,1,0,0,0,176
77,Scott,3,3,3,8,0,0,3,0,0,0,745
78,Semenyo,3,3,11,41,0,0,9,0,0,14,3202
79,Senesi,3,2,2,17,0,0,5,0,0,3,1103
80,Sinisterra,3,3,0,4,0,0,0,0,0,2,229
81,Smith,3,2,6,18,0,0,7,0,0,0,1586
83,Tavernier,3,3,4,29,0,0,6,0,0,4,1932
84,Travers,3,1,1,5,0,0,0,0,20,1,450
85,Zabarnyi,3,2,8,42,0,0,4,1,0,8,3109
152,Arrizabalaga,3,1,8,39,0,0,3,0,97,7,2790
580,Huijsen,3,2,7,31,0,0,10,0,0,14,2422
592,J.Araujo,3,2,0,10,0,0,2,0,0,0,492
599,Dennis,3,1,0,0,0,0,0,0,0,0,0
617,Evanilson,3,4,11,30,0,0,1,1,0,20,2317
680,Kinsey,3,2,0,0,0,0,0,0,0,0,0
687,Winterburn,3,3,0,0,0,0,0,0,0,0,22
702,Harris,3,2,0,0,0,0,0,0,0,0,0
707,Rees-Dottin,3,4,0,0,0,0,0,0,0,0,1
712,Akinmboni,3,2,0,0,0,0,0,0,0,0,0
713,Soler,3,2,0,1,0,0,0,0,0,0,9
722,Adu-Adjei,3,4,0,0,0,0,0,0,0,0,0
723,Sadi,3,3,0,0,0,0,0,0,0,0,0
727,McKenna,3,1,0,0,0,0,0,0,0,0,0
728,Silcott-Duberry,3,3,0,0,0,0,0,0,0,0,1
738,Iraola,3,5,0,0,0,0,0,0,0,0,0
86,Ajer,4,2,3,25,0,0,5,0,0,0,1433
87,Brierley,4,3,0,0,0,0,0,0,0,0,0
88,Collins,4,2,8,57,0,0,5,0,0,11,3420
89,Damsgaard,4,3,11,41,0,0,2,0,0,10,2911
90,Dasilva,4,3,0,0,0,0,0,0,0,0,0
91,Flekken,4,1,7,55,0,0,1,0,153,12,3275
92,Henry,4,2,0,3,0,0,0,0,0,0,94
93,Hickey,4,2,0,0,0,0,0,0,0,0,0
94,Janelt,4,3,6,38,2,0,3,0,0,2,2251
95,Jensen,4,3,2,17,0,0,2,0,0,1,846
96,Ji-soo,4,2,0,0,0,0,0,0,0,0,28
97,Konak,4,3,0,2,0,0,0,0,0,0,53
98,Lewis-Potter,4,3,8,49,0,0,7,0,0,0,3092
99,Mbeumo,4,3,9,55,0,0,3,0,0,29,3415
100,Mee,4,2,1,4,0,0,2,0,0,0,180
101,Nørgaard,4,3,6,45,0,0,8,1,0,7,2820
102,Onyeka,4,3,0,0,0,0,0,0,0,0,23
103,Peart-Harris,4,3,0,0,0,0,0,0,0,0,0
104,Pinnock,4,2,2,35,1,0,2,0,0,0,1912
105,Roerslev,4,2,2,20,0,0,2,0,0,0,1100
106,Schade,4,3,10,34,0,0,3,0,0,12,2281
107,Thiago,4,4,0,4,0,0,0,0,0,0,167
108,Toney,4,4,0,0,0,0,0,0,0,0,0
109,Valdimarsson,4,1,0,2,0,0,0,0,3,0,144
110,Wissa,4,4,9,45,0,0,5,0,0,32,2921
111,Yarmoliuk,4,3,3,25,0,0,6,0,0,0,1435
112,Zanka,4,2,0,0,0,0,0,0,0,0,0
314,Carvalho,4,3,0,14,0,0,1,0,0,1,443
338,Van den Berg,4,2,5,49,0,0,3,0,0,1,2584
602,Trevitt,4,3,0,0,0,0,0,0,0,0,3
634,G.Nunes,4,3,0,2,0,0,0,0,0,0,11
649,Meghoma,4,2,0,0,0,0,0,0,0,0,4
661,Yogane,4,3,0,0,0,0,0,0,0,0,0
674,Maghoma,4,3,0,1,0,0,0,0,0,0,112
705,Arthur,4,2,0,0,0,0,0,0,0,0,0
752,Frank,4,5,0,0,0,0,0,0,0,0,0
757,Kayode,4,2,2,5,0,0,2,0,0,0,523
759,Eyestone,4,1,0,0,0,0,0,0,0,0,0
780,Morgan,4,4,0,0,0,0,0,0,0,0,0
786,Benjamin Fredrick,4,2,0,0,0,0,0,0,0,0,0
113,Adingra,5,3,2,23,0,0,0,0,0,0,1081
114,Baker-Boaitey,5,3,0,0,0,0,0,0,0,0,0
115,Baleba,5,3,8,40,0,0,6,1,0,7,2660
116,Barco,5,2,0,0,0,0,0,0,0,0,0
118,Cozier-Duberry,5,3,0,0,0,0,0,0,0,0,0
119,Dahoud,5,3,0,0,0,0,0,0,0,0,0
120,Dunk,5,2,4,42,1,0,5,0,0,0,2081
122,Estupiñan,5,2,3,44,0,0,5,0,0,7,2399
124,Gilmour,5,3,0,1,0,0,0,0,0,0,97
125,Gross,5,3,0,0,0,0,0,0,0,0,0
126,Hinshelwood,5,3,6,30,0,0,5,0,0,8,1839
127,I.Osman,5,3,0,0,0,0,0,0,0,0,0
128,Igor,5,2,1,17,0,0,4,0,0,0,959
129,João Pedro,5,4,6,28,0,0,4,1,0,26,1946
130,Kozlowski,5,3,0,0,0,0,0,0,0,0,0
131,Lamptey,5,2,2,21,0,0,0,0,0,1,856
132,March,5,3,0,3,0,0,2,0,0,0,161
133,Mazilu,5,3,0,0,0,0,0,0,0,0,0
134,Milner,5,3,1,1,0,0,1,0,0,0,170
135,Minteh,5,3,4,33,0,0,6,0,0,8,1831
136,Mitoma,5,3,6,40,0,0,1,0,0,12,2597
137,Moder,5,3,0,0,0,0,0,0,0,0,9
138,O’Mahony,5,4,0,0,0,0,0,0,0,0,0
139,Offiah,5,2,0,0,0,0,0,0,0,0,0
140,Peupion,5,3,0,0,0,0,0,0,0,0,0
141,Sarmiento,5,3,0,0,0,0,0,0,0,0,8
142,Steele,5,1,1,1,0,0,0,0,3,1,180
143,Undav,5,4,0,0,0,0,0,0,0,0,0
144,Van Hecke,5,2,7,47,0,0,6,1,0,7,2960
145,Veltman,5,2,6,24,0,0,5,0,0,7,1694
146,Verbruggen,5,1,7,58,0,0,5,0,91,6,3240
