id,web_name,team,element_type,now_cost,cost_change_start,cost_change_event,value_form,value_season,total_points,points_per_game,selected_by_percent,transfers_in,transfers_out,transfers_in_event,transfers_out_event
58,Watkins,2,4,92,2,0,0.5,20.2,186,4.9,29.0,6498525,6903884,0,0
167,Disasi,2,2,42,-3,0,0.0,7.9,33,2.5,0.4,122107,135167,0,0
233,Onana,2,3,48,-2,0,0.5,13.5,65,2.5,2.1,1449424,1485790,0,0
385,Rashford,2,3,66,-4,0,0.0,14.4,95,3.8,3.7,1845004,1964955,0,0
598,Bogarde,2,2,39,-1,0,0.0,1.5,6,0.8,0.2,65189,59800,0,0
640,Swinkels,2,2,40,0,0,0.0,0.0,0,0.0,0.1,8500,8378,0,0
641,Zych,2,1,40,0,0,0.0,0.0,0,0.0,0.5,84557,55584,0,0
656,Young,2,3,44,-1,0,0.0,0.0,0,0.0,0.2,59513,52012,0,0
679,Broggio,2,3,45,0,0,0.0,0.0,0,0.0,0.0,2542,1889,0,0
710,Jimoh,2,3,45,0,0,0.0,0.0,0,0.0,0.0,695,453,0,0
725,Malen,2,3,53,-2,0,0.2,6.4,34,2.4,0.2,86563,68829,0,0
731,A. Garcia,2,2,45,0,0,0.0,1.8,8,1.1,0.1,15448,11668,0,0
737,Emery,2,5,8,0,0,8.7,131.2,105,0.0,7.7,265500,224959,0,0
762,M.Asensio,2,3,60,0,0,0.3,7.3,44,3.4,2.4,839677,571943,0,0
59,Aarons,3,2,43,-2,0,0.0,1.9,8,2.7,0.1,12506,29224,0,0
60,Adams,3,3,49,-1,0,0.4,11.8,58,2.1,0.1,16849,12793,0,0
61,Anthony,3,3,45,0,0,0.0,0.0,0,0.0,0.1,8381,46624,0,0
62,Brooks,3,3,49,-1,0,0.3,10.6,52,1.8,0.0,9328,8345,0,0
63,Christie,3,3,48,-2,0,0.0,15.8,76,2.6,0.1,50838,63311,0,0
64,Cook,3,3,50,0,0,0.2,16.4,82,2.3,0.1,60667,60285,0,0
65,Enes Ünal,3,4,54,-1,0,0.0,5.9,32,1.9,0.1,47246,47831,0,0
66,Faivre,3,3,50,0,0,0.0,0.0,0,0.0,0.0,23,1460,0,0
67,H.Traorè,3,3,45,0,0,0.0,0.0,0,0.0,0.0,3525,19418,0,0
68,Hill,3,2,39,-1,0,0.0,4.4,17,1.7,0.5,112677,110218,0,0
69,Jebbison,3,4,45,0,0,0.5,4.4,20,1.2,1.1,485696,572087,0,0
70,Kerkez,3,2,53,8,0,0.5,25.3,134,3.5,20.0,3604031,1437233,0,0
71,Kluivert,3,3,59,4,0,0.3,26.8,158,4.6,11.0,5516740,4388704,0,0
72,Mepham,3,2,44,-1,0,0.0,0.0,0,0.0,0.0,287,6330,0,0
74,O.Dango,3,3,45,-5,0,0.0,24.7,111,3.5,0.9,793396,704668,0,0
75,Paulsen,3,1,40,0,0,0.0,0.0,0,0.0,0.0,0,3161,0,0
76,Philip,3,3,48,-2,0,0.0,2.1,10,1.0,0.0,6119,11274,0,0
77,Scott,3,3,47,-3,0,0.1,5.5,26,1.3,0.0,3384,6964,0,0
78,Semenyo,3,3,57,2,0,1.1,28.9,165,4.5,8.0,3623976,2938239,0,0
79,Senesi,3,2,46,-4,0,0.4,6.7,31,1.8,0.3,77865,150049,0,0
80,Sinisterra,3,3,48,-2,0,0.0,4.8,23,1.9,0.1,69200,83138,0,0
81,Smith,3,2,44,-1,0,0.5,13.0,57,2.3,0.1,31246,41429,0,0
83,Tavernier,3,3,54,-1,0,0.6,16.1,87,3.0,0.2,128336,130723,0,0
84,Travers,3,1,44,-1,0,0.0,4.3,19,3.8,0.1,19149,28730,0,0
85,Zabarnyi,3,2,44,-1,0,0.9,21.4,94,2.6,0.5,135190,127667,0,0
152,Arrizabalaga,3,1,46,1,0,0.7,23.0,106,3.4,3.7,838119,497680,0,0
580,Huijsen,3,2,45,0,0,0.7,23.1,104,3.2,5.0,1032680,509350,0,0
592,J.Araujo,3,2,43,-2,0,0.2,2.8,12,1.0,0.1,12390,25151,0,0
599,Dennis,3,1,39,-1,0,0.0,0.0,0,0.0,0.3,47964,44408,0,0
617,Evanilson,3,4,59,-1,0,0.5,21.7,128,4.1,8.5,2362311,1424881,0,0
680,Kinsey,3,2,40,0,0,0.0,0.0,0,0.0,0.0,7631,5215,0,0
687,Winterburn,3,3,45,0,0,0.0,0.9,4,1.0,0.0,3575,2697,0,0
702,Harris,3,2,40,0,0,0.0,0.0,0,0.0,0.0,3804,2322,0,0
707,Rees-Dottin,3,4,45,0,0,0.0,0.2,1,1.0,0.1,18771,13803,0,0
712,Akinmboni,3,2,40,0,0,0.0,0.0,0,0.0,0.0,1907,1169,0,0
713,Soler,3,2,39,-1,0,0.1,0.8,3,1.0,0.0,6116,2877,0,0
722,Adu-Adjei,3,4,45,0,0,0.0,0.0,0,0.0,0.0,9542,5551,0,0
723,Sadi,3,3,45,0,0,0.0,0.0,0,0.0,0.0,847,513,0,0
727,McKenna,3,1,40,0,0,0.0,0.0,0,0.0,0.0,1844,976,0,0
728,Silcott-Duberry,3,3,45,0,0,0.0,0.2,1,1.0,0.0,567,367,0,0
738,Iraola,3,5,11,0,0,6.5,74.5,82,0.0,4.8,82168,87250,0,0
86,Ajer,4,2,44,-1,0,0.0,8.9,39,1.6,0.2,43811,65694,0,0
87,Brierley,4,3,44,-1,0,0.0,0.0,0,0.0,0.1,14687,16742,0,0
88,Collins,4,2,46,1,0,1.0,27.6,127,3.3,4.5,992798,568992,0,0
89,Damsgaard,4,3,49,-1,0,0.6,26.7,131,3.4,1.2,519677,410351,0,0
90,Dasilva,4,3,48,-2,0,0.0,0.0,0,0.0,0.0,512,1162,0,0
91,Flekken,4,1,45,0,0,1.2,30.7,138,3.7,10.0,1835614,1826995,0,0
92,Henry,4,2,43,-2,0,0.1,0.9,4,0.8,0.0,3031,8361,0,0
93,Hickey,4,2,43,-2,0,0.0,0.0,0,0.0,0.0,874,3168,0,0
94,Janelt,4,3,48,-2,0,0.0,15.2,73,2.3,0.2,112872,118953,0,0
95,Jensen,4,3,53,-2,0,0.2,7.2,38,1.6,0.1,9229,22220,0,0
96,Ji-soo,4,2,39,-1,0,0.0,0.8,3,1.0,0.3,50776,51743,0,0
97,Konak,4,3,44,-1,0,0.1,2.3,10,1.0,0.1,10915,12728,0,0
98,Lewis-Potter,4,3,50,0,0,0.3,18.8,94,2.5,0.1,30934,29883,0,0
99,Mbeumo,4,3,83,13,0,0.6,28.4,236,6.2,46.7,10656539,6074146,0,0
100,Mee,4,2,42,-3,0,0.0,2.1,9,1.3,0.3,31324,91112,0,0
101,Nørgaard,4,3,48,-2,0,0.9,22.3,107,3.1,0.2,68895,64300,0,0
102,Onyeka,4,3,49,-1,0,0.0,0.4,2,1.0,0.0,648,3965,0,0
