id,web_name,team,now_cost,total_points,goals_scored,assists,clean_sheets,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,minutes,form,points_per_game
95,Jensen,4,53,38,0,2,2,2,0,1,179,157.0,249.5,32.0,43.8,846,1.0,1.6
97,Konak,4,44,10,0,0,0,0,0,0,30,8.0,4.5,3.0,1.2,53,0.4,1.0
98,Lewis-Potter,4,50,94,1,5,8,7,0,0,460,542.0,462.2,391.0,139.9,3092,1.6,2.5
99,Mbeumo,4,83,236,20,9,9,3,0,29,948,1236.8,1107.5,1060.0,340.8,3415,5.2,6.2
101,Nørgaard,4,48,107,5,5,6,8,1,7,580,735.4,333.0,409.0,147.9,2820,4.2,3.1
102,Onyeka,4,49,2,0,0,0,0,0,0,3,0.0,0.5,0.0,0.0,23,0.0,1.0
103,Peart-Harris,4,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
106,Schade,4,53,149,11,4,10,3,0,12,498,630.8,312.7,892.0,183.3,2281,7.4,3.9
111,Yarmoliuk,4,43,43,0,0,3,6,0,0,255,259.6,196.1,89.0,54.4,1435,2.0,1.4
314,Carvalho,4,45,35,2,1,0,1,0,1,127,142.2,71.5,154.0,36.3,443,0.0,1.8
602,Trevitt,4,44,1,0,0,0,0,0,0,5,2.6,0.1,0.0,0.3,3,0.0,1.0
634,G.Nunes,4,49,3,0,0,0,0,0,0,11,10.0,0.3,2.0,1.2,11,0.2,1.0
661,Yogane,4,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
674,Maghoma,4,45,8,0,0,0,0,0,0,32,27.8,15.8,10.0,5.4,112,0.0,1.0
113,Adingra,5,51,60,2,3,2,0,0,0,207,212.4,261.9,337.0,80.9,1081,2.5,2.1
114,Baker-Boaitey,5,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
115,Baleba,5,50,87,3,1,8,6,1,7,490,515.4,343.7,193.0,105.2,2660,2.2,2.6
118,Cozier-Duberry,5,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
119,Dahoud,5,49,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
124,Gilmour,5,50,3,0,0,0,0,0,0,21,11.4,11.9,2.0,2.5,97,0.0,1.5
125,Gross,5,65,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
126,Hinshelwood,5,49,89,5,3,6,5,0,8,404,394.6,268.1,304.0,97.0,1839,6.2,3.4
127,I.Osman,5,50,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
130,Kozlowski,5,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
132,March,5,65,7,0,0,0,2,0,0,25,24.0,59.6,18.0,10.1,161,0.0,0.9
133,Mazilu,5,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
134,Milner,5,50,6,0,0,1,1,0,0,27,28.6,66.3,12.0,10.7,170,0.2,1.5
135,Minteh,5,48,102,6,5,4,6,0,8,398,523.8,448.9,615.0,159.1,1831,4.0,3.2
136,Mitoma,5,63,145,10,5,6,1,0,12,536,670.6,578.0,856.0,210.7,2597,2.8,4.0
137,Moder,5,44,4,0,0,0,0,0,0,17,15.8,36.0,2.0,5.4,9,0.0,1.0
140,Peupion,5,44,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
141,Sarmiento,5,49,1,0,0,0,0,0,0,3,0.2,0.8,0.0,0.1,8,0.0,1.0
149,Wieffer,5,47,52,1,5,2,6,0,4,243,328.8,230.4,129.0,68.5,1003,3.0,2.1
595,Gruda,5,54,45,1,4,1,0,0,1,176,196.6,311.6,187.0,69.1,676,3.8,2.1
600,Ayari,5,50,74,2,1,7,4,0,3,358,363.2,507.5,247.0,111.7,1958,3.5,2.2
601,Moran,5,50,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
618,Georginio,5,50,95,5,6,6,2,0,1,288,355.4,281.8,404.0,103.0,1651,0.0,3.4
629,O'Riley,5,55,50,2,3,2,1,0,2,209,211.4,322.5,219.0,75.3,929,3.2,2.4
714,Gómez,5,55,30,1,1,0,0,0,2,130,124.2,143.2,69.0,33.6,507,3.5,1.9
758,Knight,5,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
795,Harry Howell,5,45,1,0,0,0,0,0,0,5,2.0,0.9,6.0,0.9,6,0.2,1.0
150,Andrey Santos,6,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
151,Ângelo,6,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
157,Caicedo,6,49,98,1,4,12,11,0,4,650,627.6,568.8,95.0,129.2,3351,3.2,2.6
158,Casadei,6,44,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
161,Chukwuemeka,6,47,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
166,Dewsbury-Hall,6,55,18,0,1,0,0,0,1,71,57.4,47.4,21.0,12.6,257,0.2,1.4
168,Enzo,6,47,135,6,8,10,8,0,11,691,761.6,1131.6,517.0,241.3,2943,4.0,3.8
169,Gallagher,6,59,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
173,Kellyman,6,43,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
174,Lavia,6,45,26,0,1,3,4,0,0,125,113.2,121.7,7.0,24.4,792,1.8,1.6
177,Madueke,6,60,120,7,5,6,3,0,12,425,479.2,475.1,998.0,195.3,2028,2.2,3.8
179,Mudryk,6,61,7,0,0,0,0,0,0,26,23.2,31.5,31.0,8.5,145,0.0,1.0
181,Nkunku,6,57,60,3,2,2,2,0,5,190,230.2,204.9,339.0,77.1,904,0.0,2.2
182,Palmer,6,105,214,15,10,10,7,0,35,952,1068.2,1259.2,1052.0,338.0,3193,4.2,5.8
184,Renato Veiga,6,44,7,0,0,1,2,0,0,22,30.4,9.2,19.0,5.9,176,0.0,1.0
386,Sancho,6,62,86,3,5,7,2,0,3,367,340.0,523.2,414.0,127.5,1754,1.0,2.8
560,Neto,6,61,104,4,6,8,8,0,9,434,492.0,762.7,545.0,180.0,2262,4.0,3.0
621,João Félix,6,59,24,1,2,1,2,0,0,90,88.0,95.4,141.0,32.3,362,0.0,2.0
695,Rak-Sakyi,6,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
696,George,6,45,17,1,1,1,1,0,0,55,67.4,72.7,32.0,17.1,177,0.8,2.1
771,Amougou,6,45,1,0,0,0,0,0,0,2,1.0,0.9,0.0,0.2,7,0.0,1.0
