id,web_name,team,element_type,minutes,total_points,points_per_game,starts,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90
762,M.Asensio,2,3,740,44,3.4,9,0.54,0.14,0.68
59,Aarons,3,2,84,8,2.7,1,0.0,0.01,0.01
60,Adams,3,3,1959,58,2.1,21,0.06,0.03,0.09
61,Anthony,3,3,0,0,0.0,0,0.0,0.0,0.0
62,Brooks,3,3,941,52,1.8,9,0.25,0.19,0.44
63,Christie,3,3,2114,76,2.6,27,0.09,0.12,0.21
64,Cook,3,3,2976,82,2.3,32,0.03,0.11,0.14
65,Enes Ünal,3,4,330,32,1.9,2,0.74,0.07,0.81
66,Faivre,3,3,0,0,0.0,0,0.0,0.0,0.0
67,H.Traorè,3,3,0,0,0.0,0,0.0,0.0,0.0
68,Hill,3,2,443,17,1.7,6,0.06,0.05,0.11
69,Jebbison,3,4,105,20,1.2,0,0.9,0.1,1.0
70,Kerkez,3,2,3336,134,3.5,38,0.02,0.07,0.09
71,Kluivert,3,3,2339,158,4.6,29,0.39,0.14,0.53
72,Mepham,3,2,0,0,0.0,0,0.0,0.0,0.0
74,O.Dango,3,3,1998,111,3.5,21,0.38,0.15,0.53
75,Paulsen,3,1,0,0,0.0,0,0.0,0.0,0.0
76,Philip,3,3,176,10,1.0,1,0.28,0.5,0.78
77,Scott,3,3,745,26,1.3,8,0.09,0.12,0.21
78,Semenyo,3,3,3202,165,4.5,36,0.27,0.12,0.39
79,Senesi,3,2,1103,31,1.8,13,0.07,0.04,0.11
80,Sinisterra,3,3,229,23,1.9,1,0.46,0.51,0.97
81,Smith,3,2,1586,57,2.3,19,0.04,0.04,0.08
83,Tavernier,3,3,1932,87,3.0,20,0.26,0.17,0.43
84,Travers,3,1,450,19,3.8,5,0.0,0.0,0.0
85,Zabarnyi,3,2,3109,94,2.6,35,0.03,0.02,0.05
152,Arrizabalaga,3,1,2790,106,3.4,31,0.0,0.0,0.0
580,Huijsen,3,2,2422,104,3.2,26,0.07,0.06,0.13
592,J.Araujo,3,2,492,12,1.0,7,0.0,0.02,0.02
599,Dennis,3,1,0,0,0.0,0,0.0,0.0,0.0
617,Evanilson,3,4,2317,128,4.1,28,0.48,0.07,0.55
680,Kinsey,3,2,0,0,0.0,0,0.0,0.0,0.0
687,Winterburn,3,3,22,4,1.0,0,0.0,0.0,0.0
702,Harris,3,2,0,0,0.0,0,0.0,0.0,0.0
707,Rees-Dottin,3,4,1,1,1.0,0,0.0,0.0,0.0
712,Akinmboni,3,2,0,0,0.0,0,0.0,0.0,0.0
713,Soler,3,2,9,3,1.0,0,0.0,0.0,0.0
722,Adu-Adjei,3,4,0,0,0.0,0,0.0,0.0,0.0
723,Sadi,3,3,0,0,0.0,0,0.0,0.0,0.0
727,McKenna,3,1,0,0,0.0,0,0.0,0.0,0.0
728,Silcott-Duberry,3,3,1,1,1.0,0,0.0,0.0,0.0
738,Iraola,3,5,0,82,0.0,0,0.0,0.0,0.0
86,Ajer,4,2,1433,39,1.6,17,0.06,0.03,0.09
87,Brierley,4,3,0,0,0.0,0,0.0,0.0,0.0
88,Collins,4,2,3420,127,3.3,38,0.06,0.04,0.1
89,Damsgaard,4,3,2911,131,3.4,34,0.09,0.22,0.31
90,Dasilva,4,3,0,0,0.0,0,0.0,0.0,0.0
91,Flekken,4,1,3275,138,3.7,37,0.0,0.0,0.0
92,Henry,4,2,94,4,0.8,0,0.0,0.01,0.01
93,Hickey,4,2,0,0,0.0,0,0.0,0.0,0.0
94,Janelt,4,3,2251,73,2.3,27,0.03,0.1,0.13
95,Jensen,4,3,846,38,1.6,8,0.02,0.19,0.21
96,Ji-soo,4,2,28,3,1.0,0,0.0,0.0,0.0
97,Konak,4,3,53,10,1.0,0,0.25,0.0,0.25
98,Lewis-Potter,4,3,3092,94,2.5,36,0.09,0.14,0.23
99,Mbeumo,4,3,3415,236,6.2,38,0.33,0.24,0.57
100,Mee,4,2,180,9,1.3,2,0.0,0.01,0.01
101,Nørgaard,4,3,2820,107,3.1,34,0.14,0.04,0.18
102,Onyeka,4,3,23,2,1.0,0,0.0,0.08,0.08
103,Peart-Harris,4,3,0,0,0.0,0,0.0,0.0,0.0
104,Pinnock,4,2,1912,47,2.1,21,0.05,0.03,0.08
105,Roerslev,4,2,1100,36,1.9,11,0.02,0.17,0.19
106,Schade,4,3,2281,149,3.9,26,0.33,0.07,0.4
107,Thiago,4,4,167,9,1.1,1,0.07,0.02,0.09
108,Toney,4,4,0,0,0.0,0,0.0,0.0,0.0
109,Valdimarsson,4,1,144,2,1.0,1,0.0,0.0,0.0
110,Wissa,4,4,2921,185,5.3,34,0.57,0.07,0.64
