id,web_name,team,element_type,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
229,Maupay,8,4,u,0.0,0.0,Transferred to Marseille,2024-08-31T06:13:30.372925Z
230,McNeil,8,3,a,100.0,100.0,,2024-12-14T22:30:07.956313Z
231,Mykolenko,8,2,a,100.0,100.0,,2025-04-05T16:00:08.540143Z
232,Ndiaye,8,4,a,100.0,100.0,,2025-02-12T22:30:09.619740Z
234,Patterson,8,2,a,100.0,100.0,,2025-02-12T12:30:09.421305Z
235,Pickford,8,1,a,,,,
236,Tarkowski,8,2,i,0.0,0.0,Hamstring injury - Expected back 01 Jun,2025-04-19T21:00:07.561932Z
237,Y. Chermiti,8,4,a,100.0,100.0,,2025-01-04T19:30:08.340445Z
238,Young,8,2,a,100.0,100.0,,2024-12-23T10:00:08.166370Z
450,Alcaraz,8,3,a,100.0,100.0,,2025-02-28T11:07:29.233196Z
577,Lindstrøm,8,3,i,0.0,0.0,Groin Injury - Expected back 01 Jun,2025-04-04T12:00:09.306283Z
582,O'Brien,8,2,a,100.0,100.0,,2025-05-11T00:30:08.339199Z
603,Armstrong,8,3,u,0.0,0.0,Loaned to Derby County,2025-02-04T10:31:41.928684Z
614,Metcalfe,8,3,u,0.0,0.0,Season long loan to Chesterfield,2024-09-01T09:13:11.888586Z
624,Begovic,8,1,a,,,,
627,Dixon,8,2,a,,,,
651,Mangala,8,3,i,0.0,0.0,Knee injury - Expected back 01 Jun,2025-01-25T21:00:10.987581Z
678,Bates,8,3,a,,,,
724,Sherif,8,4,a,,,,
742,Moyes,8,5,a,,,,
773,Heath,8,3,a,,,,
775,Coby Ebere,8,3,a,,,,
803,Welch,8,2,a,,,,
10,Nelson,9,3,i,0.0,0.0,Hamstring injury - Expected back 01 Jun,2024-12-05T00:30:07.571778Z
19,Smith Rowe,9,3,a,100.0,100.0,,2025-04-21T04:30:07.475951Z
191,Andersen,9,2,a,100.0,100.0,,2024-12-20T17:00:08.228623Z
239,Adama,9,3,a,100.0,100.0,,2025-03-03T01:00:07.621217Z
240,Andreas,9,3,a,100.0,100.0,,2024-12-14T22:00:08.101494Z
241,Bassey,9,2,a,100.0,100.0,,2024-12-09T09:30:06.333045Z
242,Benda,9,1,a,,,,
243,Cairney,9,3,a,100.0,100.0,,2025-02-22T21:00:09.945910Z
244,Castagne,9,2,i,0.0,0.0,Ankle injury - Expected back 01 Jun,2025-05-07T22:00:07.863791Z
245,Diop,9,2,a,,,,
246,Harris,9,3,u,0.0,0.0,Season long loan to Birmingham City,2024-08-06T17:24:03.566492Z
247,Iwobi,9,3,a,,,,
248,Leno,9,1,a,,,,
249,Lukić,9,3,a,100.0,100.0,,2025-05-09T16:30:08.370879Z
250,Mbabu,9,2,u,0.0,0.0,Transferred to FC Midtjylland,2024-08-31T06:24:47.127908Z
251,Muniz,9,4,i,0.0,0.0,Achilles injury - Expected back 01 Jun,2025-04-21T04:30:07.731276Z
252,Raúl,9,4,a,,,,
253,Ream,9,2,u,0.0,0.0,Permanent transfer to Charlotte FC,2024-08-09T11:16:10.995330Z
254,Reed,9,3,i,0.0,0.0,Calf injury - Expected back 01 Jun,2025-05-04T12:00:08.026361Z
255,Robinson,9,2,a,100.0,100.0,,2025-05-16T14:00:08.406092Z
256,Stansfield,9,4,u,0.0,0.0,Transferred to Birmingham City,2024-08-31T09:25:38.042723Z
257,Tete,9,2,a,100.0,100.0,,2024-12-14T22:30:08.002508Z
258,Vinicius,9,4,a,100.0,100.0,,2024-09-13T15:30:06.747794Z
259,Wilson,9,3,a,100.0,100.0,,2025-01-27T01:00:08.787656Z
579,Sessegnon,9,2,a,100.0,100.0,,2024-11-29T14:30:06.735790Z
586,J.Cuenca,9,2,a,100.0,100.0,,2024-11-29T14:30:06.749491Z
604,King,9,3,a,,,,
605,Godo,9,3,a,,,,
622,Berge,9,3,a,100.0,100.0,,2024-12-23T10:00:08.707768Z
690,Amissah,9,2,a,,,,
753,Silva,9,5,a,,,,
772,Willian,9,3,a,,,,
121,Enciso,10,3,a,100.0,100.0,,2025-02-15T18:30:08.525864Z
260,Al-Hamadi,10,4,u,0.0,0.0,Loaned to Stoke City,2025-01-27T09:58:45.208139Z
261,Baggott,10,2,u,0.0,0.0,Season long loan to Blackpool,2024-08-07T08:20:38.133494Z
262,Broadhead,10,3,a,100.0,100.0,,2025-04-21T04:30:07.746088Z
263,Burgess,10,2,a,100.0,50.0,,2025-05-18T20:30:07.575686Z
264,Burns,10,3,i,0.0,0.0,Knee injury - Expected back 01 Jun,2025-01-25T21:00:10.042481Z
265,Chaplin,10,3,a,100.0,100.0,,2025-01-03T20:00:09.216849Z
266,H.Clarke,10,2,u,0.0,0.0,Loaned to Sheffield United,2025-02-03T10:21:05.274215Z
267,Davis,10,2,a,100.0,100.0,,2025-04-21T04:30:07.768773Z
268,Delap,10,4,a,100.0,100.0,,2025-04-12T05:30:06.621186Z
269,Edmundson,10,2,u,0.0,0.0,Loaned to Middlesbrough,2024-08-31T08:22:49.668219Z
270,Greaves,10,2,a,100.0,100.0,,2024-11-22T17:30:09.014564Z
271,Harness,10,3,u,0.0,0.0,Loaned to Derby County,2024-08-31T08:21:56.022360Z
272,Hirst,10,4,a,100.0,100.0,,2024-11-22T17:00:09.158802Z
273,Humphreys,10,3,u,0.0,0.0,Loaned to Wycombe,2024-08-23T12:39:48.370081Z
274,Hutchinson,10,3,a,100.0,100.0,,2025-04-03T01:00:08.022445Z
275,Johnson,10,2,a,100.0,100.0,,2025-04-26T17:30:07.919562Z
276,Ladapo,10,4,u,0.0,0.0,Mutual termination of contract,2024-08-31T06:23:26.859072Z
277,Luongo,10,3,a,100.0,100.0,,2024-12-25T22:30:08.205367Z
278,Morsy,10,3,a,100.0,100.0,,2025-02-15T18:30:08.820018Z
279,Ndaba,10,2,u,0.0,0.0,Permanent transfer to Kilmarnock,2024-08-01T06:52:12.954431Z
280,Slicker,10,1,a,,,,
281,Taylor,10,3,a,100.0,100.0,,2024-11-22T17:30:09.045912Z
282,Tuanzebe,10,2,a,100.0,100.0,,2025-04-27T12:00:08.227756Z
283,Walton,10,1,a,100.0,100.0,,2025-02-05T18:30:08.721535Z
284,Woolfenden,10,2,a,,,,
359,Phillips,10,3,i,0.0,0.0,Foot injury - Expected back 01 Jun,2025-05-16T14:00:08.553588Z
568,Muric,10,1,i,0.0,0.0,Shoulder injury - Expected back 01 Jun,2025-04-11T14:00:07.052575Z
569,Jaden,10,3,i,0.0,0.0,Knee injury - Expected back 01 Jun,2025-04-14T08:30:08.245702Z
583,Townsend,10,2,d,25.0,25.0,Hamstring injury - 25% chance of playing,2025-04-21T04:30:08.085211Z
611,Szmodics,10,3,a,100.0,75.0,,2025-03-06T03:00:08.694060Z
619,Cajuste,10,3,a,100.0,100.0,,2025-02-22T21:00:10.320626Z
630,O'Shea,10,2,a,100.0,100.0,,2024-10-18T17:30:07.558521Z
631,J.Clarke,10,3,a,,,,
632,Ogbene,10,3,i,0.0,0.0,Achilles injury - Expected back 01 Jun,2024-10-26T20:00:08.138345Z
715,Godfrey,10,2,a,,,,
743,McKenna,10,5,a,,,,
764,Palmer,10,1,a,,,,
799,Boniface,10,2,a,,,,
800,Tom Taylor,10,3,a,,,,
117,Buonanotte,11,3,a,100.0,100.0,,2025-04-27T12:00:08.078339Z
192,J.Ayew,11,3,a,100.0,100.0,,2024-12-27T00:30:09.361030Z
198,Edouard,11,4,a,100.0,100.0,,2025-01-04T19:30:08.259088Z
285,B.Soumaré,11,3,a,100.0,100.0,,2024-12-09T09:30:06.376244Z
286,Cannon,11,4,u,0.0,0.0,Loaned to Stoke City,2024-08-31T06:20:48.397195Z
287,Choudhury,11,3,u,0.0,0.0,Loaned to Sheffield United,2025-01-30T11:40:47.663636Z
288,Coady,11,2,a,100.0,100.0,,2024-08-12T14:30:04.626270Z
289,Daka,11,4,a,100.0,100.0,,2024-08-12T14:30:04.636525Z
290,De Cordova-Reid,11,3,i,0.0,0.0,Muscle injury - Expected back 01 Jun,2025-04-26T18:00:08.353099Z
291,Faes,11,2,a,100.0,100.0,,2025-04-11T00:00:08.480230Z
292,Golding,11,3,a,,,,
293,Hermansen,11,1,i,0.0,0.0,Groin Injury - Expected back 01 Jun,2025-05-01T12:00:08.105076Z
294,Iversen,11,1,a,,,,
295,Justin,11,2,a,100.0,100.0,,2025-02-15T16:00:09.207526Z
296,Kristiansen,11,2,a,100.0,100.0,,2025-02-10T09:30:07.256147Z
297,Marcal,11,3,u,0.0,0.0,Loaned to De Graafschap,2024-08-31T06:21:32.289998Z
298,Mavididi,11,3,i,0.0,0.0,Muscle injury - Expected back 01 Jun,2025-04-25T00:00:08.352936Z
299,McAteer,11,3,a,100.0,100.0,,2025-04-25T00:00:08.373849Z
300,Ndidi,11,3,a,100.0,100.0,,2024-12-09T09:30:06.387859Z
301,Okoli,11,2,a,100.0,100.0,,2025-02-22T02:00:07.447724Z
302,Ricardo,11,2,a,100.0,100.0,,2025-04-27T12:00:08.247138Z
303,Souttar,11,2,u,0.0,0.0,Season long loan to Sheffield United,2024-08-07T08:21:01.638839Z
304,Stolarczyk,11,1,a,100.0,100.0,,2024-07-25T11:00:04.015354Z
305,Thomas,11,2,a,,,,
306,Vardy,11,4,a,100.0,0.0,,2025-05-23T14:00:08.612311Z
307,Vestergaard,11,2,a,100.0,100.0,,2025-02-10T09:30:07.295426Z
308,Ward,11,1,a,,,,
309,Winks,11,3,a,100.0,100.0,,2024-11-23T17:30:08.809600Z
501,Skipp,11,3,a,,,,
570,A.Fatawu,11,3,i,0.0,0.0,Knee injury - Expected back 01 Jun,2024-11-21T10:30:09.372550Z
606,Alves,11,3,u,0.0,0.0,Loaned to Cardiff City,2025-02-03T18:00:25.183771Z
616,Nelson,11,2,u,0.0,0.0,Loaned to Oxford United,2024-08-31T06:22:31.067773Z
635,El Khannouss,11,3,a,,,,
694,Cartwright,11,3,a,,,,
708,Wilson-Brown,11,2,u,0.0,0.0,Loaned to Kilmarnock,2025-02-04T10:30:57.487547Z
726,Coulibaly,11,2,a,,,,
754,Van Nistelrooy,11,5,a,,,,
792,Monga,11,3,a,100.0,100.0,,2025-04-12T20:00:08.688134Z
796,Olabade Aluko,11,2,a,,,,
797,Jake Evans,11,3,a,,,,
802,Braybrooke,11,3,a,,,,
310,A.Becker,12,1,a,100.0,100.0,,2025-03-22T01:00:07.863924Z
311,Alexander-Arnold,12,2,a,100.0,100.0,,2025-03-12T11:30:07.218287Z
312,Bajcetic,12,3,u,0.0,0.0,Loaned to RB Salzburg,2024-08-31T06:19:45.092198Z
313,Bradley,12,2,a,100.0,100.0,,2025-04-27T22:30:08.305429Z
315,Clark,12,3,u,0.0,0.0,Transferred to RB Salzburg,2024-08-22T11:22:35.466323Z
316,Darwin,12,4,a,100.0,100.0,,2025-01-31T15:00:09.018032Z
317,Diogo J.,12,3,a,100.0,100.0,,2025-01-17T11:30:07.995744Z
318,Doak,12,3,u,0.0,0.0,Loaned to Middlesbrough,2024-08-31T06:17:31.171503Z
319,Elliott,12,3,a,100.0,100.0,,2024-09-08T23:00:06.842081Z
320,Endo,12,3,a,,,,
321,Gakpo,12,4,a,100.0,100.0,,2025-03-06T00:00:09.307224Z
322,Gomez,12,2,a,100.0,100.0,,2025-02-12T12:30:09.561757Z
323,Gravenberch,12,3,s,0.0,100.0,Suspended until 23 Aug,2025-05-25T18:00:07.664729Z
324,Jones,12,3,a,100.0,100.0,,2025-02-12T22:30:09.769827Z
325,Kelleher,12,1,a,,,,
326,Konaté,12,2,a,100.0,100.0,,2024-11-28T10:30:07.514061Z
327,Luis Díaz,12,3,a,100.0,100.0,,2025-01-17T11:30:08.018487Z
328,M.Salah,12,3,a,,,,
329,Mac Allister,12,3,i,0.0,0.0,Lack of match fitness - Expected back 16 Aug,2025-05-19T23:30:07.967116Z
330,McConnell,12,3,a,100.0,100.0,,2024-09-10T11:24:32.362482Z
331,Morton,12,3,a,100.0,100.0,,2025-02-07T16:30:07.536970Z
332,N.Phillips,12,2,u,0.0,0.0,Loaned to Derby County,2024-08-31T06:18:33.693343Z
333,Quansah,12,2,a,100.0,100.0,,2024-08-23T09:30:06.099816Z
334,R.Williams,12,2,u,0.0,0.0,Loaned to Morecambe,2024-08-22T11:18:16.485954Z
335,Robertson,12,2,a,,,,
336,Szoboszlai,12,3,a,100.0,100.0,,2024-12-27T00:30:09.581631Z
337,Tsimikas,12,2,a,100.0,100.0,,2024-11-25T09:30:07.571904Z
339,Virgil,12,2,a,,,,
636,Chiesa,12,3,a,100.0,100.0,,2024-12-26T10:30:09.366339Z
660,Jaros,12,1,a,,,,
669,Davies,12,1,a,,,,
688,Nyoni,12,3,a,,,,
692,Nallo,12,2,a,,,,
709,Danns,12,4,u,0.0,0.0,Loaned to Sunderland,2025-02-06T23:44:42.048875Z
744,Slot,12,5,a,,,,
340,Akanji,13,2,a,100.0,100.0,,2025-02-12T09:00:09.174095Z
341,Aké,13,2,a,100.0,100.0,,2025-03-01T21:30:09.703817Z
342,Bernardo,13,3,a,100.0,100.0,,2025-03-15T22:00:08.783379Z
343,Bobb,13,3,a,100.0,100.0,,2025-05-09T16:00:08.760594Z
344,Carson,13,1,a,,,,
345,De Bruyne,13,3,a,100.0,100.0,,2024-09-18T23:00:07.299083Z
346,Doku,13,3,a,100.0,100.0,,2025-01-23T00:00:08.182578Z
347,Ederson M.,13,1,a,100.0,100.0,,2025-04-12T20:00:08.389207Z
348,Foden,13,3,a,100.0,100.0,,2025-04-12T06:30:08.213792Z
349,Grealish,13,3,a,100.0,100.0,,2025-02-12T09:00:09.233925Z
350,Gvardiol,13,2,a,100.0,100.0,,2024-10-31T02:30:07.426838Z
351,Haaland,13,4,a,100.0,100.0,,2025-03-30T21:00:08.779885Z
352,J.Alvarez,13,4,u,0.0,0.0,Transferred to Atletico Madrid,2024-08-13T07:07:51.627006Z
353,João Cancelo,13,2,u,0.0,0.0,Permanent transfer to Saudi club Al-Hilal,2024-08-29T11:05:25.670531Z
354,Kovačić,13,3,a,100.0,0.0,,2025-05-21T00:00:08.373244Z
355,Lewis,13,2,a,100.0,100.0,,2024-12-07T21:30:08.281236Z
356,Matheus N.,13,3,a,100.0,100.0,,2024-12-21T22:00:08.310190Z
357,McAtee,13,3,a,,,,
358,Ortega Moreno,13,1,a,,,,
360,Rodrigo,13,3,a,100.0,100.0,,2024-09-22T22:00:05.633631Z
361,Rúben,13,2,a,100.0,100.0,,2025-01-23T00:00:08.203274Z
362,Stones,13,2,i,0.0,0.0,Thigh injury - Expected back 01 Jun,2025-02-21T13:30:09.715292Z
363,Walker,13,2,u,0.0,0.0,Loaned to Milan,2025-01-27T09:56:49.234718Z
571,Savinho,13,3,a,100.0,100.0,,2024-10-31T02:30:07.756984Z
607,O’Reilly,13,3,a,100.0,100.0,,2024-11-13T15:30:08.718593Z
625,Gündogan,13,3,a,,,,
626,Kaboré,13,2,u,0.0,0.0,Loaned to Benfica,2024-09-05T10:37:05.659734Z
671,Wright,13,3,u,0.0,0.0,Loaned to Norwich City,2025-02-05T21:04:28.321130Z
672,Simpson-Pusey,13,2,a,100.0,100.0,,2024-11-13T15:30:08.805382Z
675,Wilson-Esbrand,13,2,u,0.0,0.0,Loaned to Stoke City,2025-01-24T10:47:24.891848Z
698,Mubama,13,4,a,,,,
703,Alleyne,13,2,a,,,,
704,Brits,13,1,a,,,,
732,Khusanov,13,2,a,,,,
733,Vitor Reis,13,2,a,,,,
736,Guardiola,13,5,a,,,,
755,Marmoush,13,4,a,,,,
765,N.Gonzalez,13,3,a,,,,
785,Echeverri,13,3,a,,,,
364,Amad,14,3,a,100.0,100.0,,2025-02-15T18:30:08.930349Z
365,Antony,14,3,u,0.0,0.0,Loaned to Real Betis,2025-01-27T09:58:14.449507Z
366,B.Fernandes,14,3,a,100.0,100.0,,2024-12-27T00:30:09.652602Z
367,Bayindir,14,1,a,100.0,100.0,,2025-02-14T14:30:08.406927Z
368,Casemiro,14,3,a,100.0,100.0,,2024-11-10T23:00:08.039181Z
369,Dalot,14,2,a,100.0,100.0,,2025-04-25T13:30:08.377875Z
370,Eriksen,14,3,a,100.0,100.0,,2024-11-01T10:30:06.566158Z
371,Evans,14,2,a,100.0,100.0,,2025-01-14T12:00:08.993380Z
